s,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
0.8286427728546842,1.3501123087124935e-15,1.060802528274102e-15,0.2500038115278634,0.24999619902612905,0.24999618847289615,3.513607010553339e-14,0.2500038009730385,3.5386202519870756e-14
1.2067926406393288,8.272681580202567e-16,9.065952416660348e-16,0.2500005810572085,0.2500005360570985,0.2499994189428101,6.7428021098911335e-15,0.24999946394286757,6.856126515099388e-15
1.7575106248547894,1.116917462256683e-16,4.1046716737933104e-15,0.49999995218017673,0.4999999521801772,4.78198190702198e-08,1.6348006762014808e-15,4.7819819070218184e-08,2.054517316315125e-15
2.559547922699533,1.1162493727420762e-16,4.1859351477827863e-16,0.49999999989229105,0.4999999998922911,1.0770846296594614e-10,1.3168254319066682e-16,1.0770846296594614e-10,1.3168254319066682e-16
3.727593720314938,9.764463253639863e-16,3.068831308286814e-16,0.499999999999986,0.5000000000000122,7.642109610036364e-30,3.5483362002066286e-16,1.1081148283081804e-29,2.3234191581205563e-16
5.428675439323859,5.579180221659448e-17,1.1716278465484841e-15,0.4999999999999856,0.5000000000000124,0.0,1.9004082630027497e-16,0.0,6.102228367440022e-16
7.9060432109076855,1.2273982931752055e-15,3.0684957329380137e-16,0.4999999999999985,0.499999999999999,0.0,4.580950305849222e-16,0.0,4.580950305849222e-16
11.513953993264458,2.3153161998327495e-15,1.0042335324575781e-15,0.49999999999998423,0.5000000000000118,0.0,3.5217912075769227e-16,0.0,3.5217912075769227e-16
16.768329368110066,8.368612474119808e-17,2.789537491373269e-16,0.499999999999997,0.49999999999999734,0.0,2.614755532929413e-15,0.0,2.614755532929413e-15
24.420530945486497,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
35.564803062231285,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
51.79474679231202,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
75.43120063354607,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
109.85411419875572,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
159.98587196060572,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
232.99518105153672,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
339.3221771895323,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
494.1713361323828,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
719.6856730011514,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1048.1131341546852,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1526.4179671752302,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2222.996482526191,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
3237.45754281764,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
4714.8663634573895,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
6866.488450042998,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
10000.0,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
