s,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
2.559547922699533,4.580926165715622e-15,4.16032216646828e-15,8.933263201405514e-15,9.774471199900198e-15,1.7043605534718403e-14,0.4999999999997856,1.9183199791759234e-13,0.4999999999997855,1.9243547322086024e-13
3.727593720314938,1.940974975464846e-15,1.3030958755468218e-15,4.556279285128747e-15,4.0733136809051e-15,7.517860820462433e-15,0.4999999999999364,5.3928121618783846e-14,0.4999999999999364,5.3928121618783846e-14
5.428675439323859,3.1511440531930465e-15,3.4054150430760587e-15,7.13774993028742e-15,7.264885425228925e-15,1.0570408293708085e-14,0.4999999999998558,1.4362678485677586e-13,0.4999999999998558,1.1318691492506665e-13
7.9060432109076855,7.672134725161961e-15,7.644992739105965e-15,1.60047244443532e-14,1.481952438657464e-14,1.9596513932430198e-14,0.4999999999995665,4.0846879548539184e-13,0.4999999999995664,3.930159580908439e-13
11.513953993264458,6.144646960362753e-15,5.811286348143659e-15,1.3370463473868513e-14,1.356867789194473e-14,1.5839133953545045e-14,0.49999999999967104,3.0589890556926127e-13,0.49999999999967104,2.9723152965156486e-13
16.768329368110066,2.8874520542967463e-15,2.134203692306291e-15,4.680900535226402e-15,3.551027992240719e-15,4.196669445375396e-15,0.49999999999977074,2.27445136351499e-13,0.49999999999977074,2.1359971407872207e-13
24.420530945486497,2.1048021889383977e-15,1.6053576017326763e-15,4.6020251249670055e-15,3.888532857530261e-15,3.745834404042911e-15,0.499999999999921,1.0243965229723065e-13,0.49999999999990774,5.2976800857178305e-14
35.564803062231285,1.0120872137113125e-14,1.0209496236387319e-14,2.2350997836952098e-14,2.1624280222903696e-14,1.846926228874234e-14,0.49999999999944755,5.039343532929302e-13,0.49999999999944755,5.182205580959307e-13
51.79474679231202,4.9786329049198064e-15,5.629549574467625e-15,1.2244270324467084e-14,1.0414666712765106e-14,8.725801840424819e-15,0.49999999999964934,3.200926703357451e-13,0.4999999999996492,3.395322087100787e-13
75.43120063354607,3.2952154377591293e-15,3.818265507244704e-15,6.851955910261045e-15,6.4160808523564e-15,5.404850718017619e-15,0.49999999999974754,2.3385568606700103e-13,0.4999999999997591,2.3385568606700103e-13
109.85411419875572,7.593664397002443e-16,4.832331889001554e-16,5.695248297751833e-16,3.7968321985012215e-16,0.0,0.4999999999999193,8.501452459007735e-14,0.4999999999999193,7.405548619894882e-14
159.98587196060572,5.639624508959966e-16,1.7089771239272625e-16,1.555169182773809e-15,1.0253862743563574e-16,7.861294770065408e-16,0.5000000000000014,2.392567973498168e-16,0.49999999999998335,1.1757762612619568e-14
232.99518105153672,1.1027089921817565e-15,1.8321934023943034e-15,3.7831400808697185e-15,3.172408946738284e-15,2.4598892902516107e-15,0.49999999999996253,2.6278403521377556e-14,0.49999999999996253,3.6321537727094476e-14
339.3221771895323,3.7008466515430324e-15,3.1600836704956484e-15,8.162141245183947e-15,8.821196128335446e-15,6.201875438887182e-15,0.4999999999998978,8.163831129499721e-14,0.4999999999998978,9.257186281804901e-14
494.1713361323828,4.23618110687825e-15,3.105407664006367e-15,9.214959698627588e-15,8.573625507148013e-15,6.328955836969498e-15,0.49999999999972694,2.609723842854916e-13,0.49999999999972694,2.5374893602356374e-13
719.6856730011514,6.749416011952403e-16,1.3836302824502425e-15,2.024824803585721e-15,2.51415746445227e-15,1.6536069229283389e-15,0.4999999999999663,3.329149447895523e-14,0.49999999999995887,3.329149447895523e-14
1048.1131341546852,1.484849439585124e-15,1.9235549558261833e-15,3.560263997187059e-15,3.594010575359448e-15,2.27789402663627e-15,0.49999999999991246,6.133440582831734e-14,0.49999999999993683,7.663847902949584e-14
1526.4179671752302,3.459023286993217e-15,3.560262992953995e-15,7.711090937345854e-15,7.272385544849155e-15,5.045112013712058e-15,0.49999999999981903,1.9895289549725375e-13,0.4999999999997559,1.9895289549725375e-13
2222.996482526191,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
3237.45754281764,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
4714.8663634573895,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
6866.488450042998,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
10000.0,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
