M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,V
200,1.4106869178043942e-15,8.142219794038786e-16,2.88764771765329e-15,4.215492282902057e-15,3.711337394492098e-15,0.4999999999999935,0.4999999999999935
205,4.023361925377157e-16,5.323594742724653e-16,1.579905536550542e-15,2.7476618026965945e-16,1.3934570570818445e-15,0.49999999999999795,0.49999999999999795
210,7.089948758743855e-16,1.209461847079834e-15,1.8546717168201915e-15,2.52196101176079e-15,3.297194163235896e-15,0.4999999999999954,0.49999999999999495
215,4.587613902716635e-16,8.022191156087376e-16,7.359808400080161e-16,9.714947088105816e-16,7.359808400080161e-16,0.4999999999999981,0.4999999999999981
220,2.5268675506941953e-16,5.200931269389994e-16,3.336446474703015e-16,6.574762170738294e-16,5.299062048057729e-16,0.4999999999999989,0.4999999999999989
225,6.53271123010094e-16,9.846405332326055e-16,2.4971051984624972e-15,7.384803999244541e-16,1.5337669844584817e-15,0.4999999999999968,0.4999999999999968
230,2.2079425200240528e-17,1.0549058706781587e-16,1.1873824218796019e-15,2.9439233600320705e-16,7.457939178747912e-16,0.4999999999999989,0.49999999999999867
235,7.556069957415616e-16,7.016350674743074e-16,1.8841109504205177e-15,8.635508522760705e-16,1.9724286512214796e-15,0.49999999999999684,0.49999999999999684
240,3.876165757375557e-16,4.440417734715038e-16,6.967285285409231e-16,3.82710036804169e-16,1.2757001226805632e-16,0.499999999999999,0.499999999999999
245,2.2079425200240528e-17,5.299062048057726e-16,1.0401862538779983e-15,7.948593072086591e-16,1.6682232373515067e-16,0.4999999999999987,0.4999999999999987
250,2.698596413362733e-16,1.4964943746829702e-16,2.943923360032072e-17,5.29906204805773e-16,8.831770080096216e-16,0.499999999999999,0.4999999999999992
255,1.3959103265485237e-15,7.580602652082492e-16,3.709343433640366e-15,3.4542034091042553e-15,4.307941183513546e-15,0.49999999999999317,0.49999999999999317
260,2.48025543082696e-15,2.2619144482912532e-15,6.741584494473279e-15,6.780836805940373e-15,8.066350006487679e-15,0.4999999999999868,0.4999999999999868
265,1.162849727212657e-15,5.519856300060081e-16,2.845792581364308e-15,3.915418068842617e-15,3.6406518885729595e-15,0.49999999999999395,0.49999999999999395
270,1.7172886266853765e-17,4.0724273147110355e-16,4.90653893338679e-17,4.612146597383582e-16,3.04205413869981e-16,0.4999999999999994,0.4999999999999994
275,5.029202406721455e-16,2.796727192030468e-16,5.69158516272867e-16,3.925231146709428e-17,7.359808400080177e-16,0.4999999999999989,0.4999999999999989
280,1.3468449372146569e-15,1.5406532250834326e-15,3.660278044306499e-15,3.287381085369108e-15,4.3275673392470945e-15,0.4999999999999928,0.4999999999999931
285,1.8399521000200396e-16,5.372660132058516e-16,1.2168216554799197e-15,1.1971954997463726e-15,1.2560739669470138e-15,0.4999999999999979,0.4999999999999977
290,2.104905202422889e-15,2.4287367720264108e-15,6.13317366673336e-15,5.485510527526318e-15,6.545322937137842e-15,0.4999999999999887,0.4999999999999887
295,1.717288626685369e-17,4.2686888720464897e-16,1.8546717168201986e-15,1.5406532250834456e-15,1.9135501840208403e-15,0.49999999999999717,0.49999999999999717
300,6.255837140068111e-16,1.3910037876151447e-15,2.492521778160471e-15,1.7663540160192316e-15,2.2079425200240394e-15,0.4999999999999958,0.4999999999999958
305,1.6044382312174583e-15,1.5014009136163371e-15,3.944857302442925e-15,3.944857302442925e-15,4.38644580644773e-15,0.4999999999999923,0.4999999999999923
310,8.095789240088154e-16,4.342286956047283e-16,1.884110950420516e-15,1.785980171752781e-15,2.1588771306901746e-15,0.49999999999999645,0.49999999999999645
315,7.482471873414846e-16,5.176398574723057e-16,0.0,1.1481301104125076e-15,8.733639301428477e-16,0.49999999999999833,0.49999999999999833
320,0.0,2.6740637186958004e-16,6.869154506741506e-17,6.280369834735091e-16,1.4719616800160367e-16,0.49999999999999944,0.49999999999999944
325,9.862143256107396e-16,6.403033308069728e-16,1.5308401472166706e-15,1.9037371061540646e-15,1.854671716820197e-15,0.49999999999999656,0.49999999999999656
330,1.3738309013482833e-15,1.3051393562808692e-15,3.208876462434919e-15,3.954670380309701e-15,4.317754261380319e-15,0.49999999999999295,0.49999999999999295
335,7.531537262748699e-16,6.550229476071345e-16,1.4228962906821645e-15,7.35980840008016e-16,3.8271003680416843e-16,0.49999999999999806,0.49999999999999806
340,2.3551386880256515e-16,1.2511674280136276e-16,1.1873824218795993e-15,1.5112139914831264e-15,1.2560739669470142e-15,0.4999999999999978,0.4999999999999978
345,8.463779660092136e-16,1.0818918348117774e-15,2.620091790428522e-15,2.7182225690962566e-15,3.061680294433329e-15,0.49999999999999495,0.49999999999999467
350,1.889017489353913e-16,4.047894620044099e-16,6.574762170738293e-16,1.4719616800160362e-16,2.453269466693393e-16,0.4999999999999989,0.4999999999999994
355,7.8749949880857585e-16,8.831770080096179e-17,1.5897186144173122e-15,1.4327093685489356e-15,1.4817747578828032e-15,0.49999999999999734,0.49999999999999734
360,1.069849810146965e-15,9.467697434928893e-17,7.858188870990981e-16,2.2391104433606833e-15,1.6284439588077698e-15,0.4999999999999971,0.4999999999999971
365,1.7001157404185003e-15,1.143223571479107e-15,2.3453256101588543e-15,5.0537351013883274e-15,4.74952968751835e-15,0.49999999999999245,0.49999999999999245
370,1.0303731760112207e-15,2.894857970698192e-16,6.672892949406001e-16,2.1098117413563094e-15,2.688783335495948e-15,0.4999999999999966,0.4999999999999966
375,7.9976584614204235e-16,1.4032701349486142e-15,1.5602793808169906e-15,1.6682232373514994e-15,1.3345785898811995e-15,0.4999999999999964,0.4999999999999968
