M,X,Y_{cj},Y_{rj},Z,T,V
260,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
265,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
270,0.17647058823529396,0.17647058823529407,0.17647058823529407,0.2352941176470591,0.1176470588235294,0.1176470588235294
275,0.1764705882352941,0.17647058823529382,0.17647058823529427,0.2352941176470591,0.11764705882352933,0.11764705882352933
280,0.17647058823529416,0.1764705882352939,0.17647058823529405,0.23529411764705882,0.1176470588235295,0.1176470588235295
285,0.17647058823529416,0.1764705882352939,0.17647058823529405,0.23529411764705882,0.1176470588235295,0.1176470588235295
290,0.17647058823529396,0.17647058823529407,0.17647058823529407,0.2352941176470591,0.1176470588235294,0.1176470588235294
295,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.23529411764705885,0.11764705882352938,0.11764705882352938
300,0.17647058823529396,0.17647058823529407,0.17647058823529407,0.2352941176470591,0.1176470588235294,0.1176470588235294
305,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
310,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
315,0.17647058823529396,0.17647058823529407,0.17647058823529407,0.2352941176470591,0.1176470588235294,0.1176470588235294
320,0.17647058823529435,0.1764705882352939,0.17647058823529402,0.23529411764705863,0.11764705882352956,0.11764705882352956
325,0.17647058823529435,0.1764705882352939,0.17647058823529402,0.23529411764705863,0.11764705882352956,0.11764705882352956
330,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
335,0.1764705882352941,0.17647058823529382,0.17647058823529427,0.2352941176470591,0.11764705882352933,0.11764705882352933
340,0.17647058823529435,0.1764705882352939,0.17647058823529402,0.23529411764705863,0.11764705882352956,0.11764705882352956
345,0.17647058823529402,0.17647058823529413,0.17647058823529413,0.23529411764705893,0.11764705882352945,0.11764705882352945
350,0.17647058823529435,0.17647058823529405,0.17647058823529416,0.23529411764705835,0.11764705882352963,0.11764705882352963
355,0.17647058823529402,0.17647058823529388,0.17647058823529435,0.23529411764705904,0.11764705882352947,0.11764705882352947
360,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
365,0.17647058823529416,0.1764705882352939,0.17647058823529405,0.23529411764705882,0.1176470588235295,0.1176470588235295
370,0.17647058823529396,0.17647058823529407,0.17647058823529407,0.2352941176470591,0.1176470588235294,0.1176470588235294
375,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
380,0.1764705882352941,0.17647058823529382,0.17647058823529427,0.2352941176470591,0.11764705882352933,0.11764705882352933
385,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.23529411764705885,0.11764705882352938,0.11764705882352938
390,0.17647058823529402,0.17647058823529388,0.17647058823529435,0.23529411764705904,0.11764705882352947,0.11764705882352947
395,0.17647058823529435,0.17647058823529405,0.17647058823529416,0.23529411764705835,0.11764705882352963,0.11764705882352963
400,0.17647058823529435,0.1764705882352939,0.17647058823529402,0.23529411764705863,0.11764705882352956,0.11764705882352956
405,0.17647058823529402,0.17647058823529388,0.17647058823529435,0.23529411764705904,0.11764705882352947,0.11764705882352947
410,0.1764705882352942,0.17647058823529357,0.17647058823529418,0.2352941176470589,0.1176470588235295,0.1176470588235295
415,0.17647058823529435,0.1764705882352939,0.17647058823529402,0.23529411764705863,0.11764705882352956,0.11764705882352956
420,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
425,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
430,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
435,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
440,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
