M,X,Y_{cj},Y_{rj},T,U,V,W
390,1.0906096021212737e-15,0.499999999999923,0.49999999999993106,0.0,7.243914431764298e-14,0.0,7.243914431764298e-14
395,1.283056268384575e-16,0.49999999999988365,0.4999999999998586,1.9589344792197266e-32,1.286470651520657e-13,3.2236091552935384e-32,1.2892980113542605e-13
400,3.849128288060908e-16,0.499999999999891,0.49999999999997496,0.0,6.685554933041625e-14,0.0,6.685554933041625e-14
405,3.8490887707884272e-16,0.49999999999997485,0.4999999999999615,9.190694627686113e-32,3.157699959211309e-14,1.1121427476396177e-32,3.1769454030652507e-14
410,4.490558586225472e-16,0.499999999999881,0.49999999999997125,0.0,7.357361759555046e-14,0.0,7.357361759555046e-14
415,3.2075104926738773e-16,0.4999999999998603,0.5000000000000261,0.0,5.6663116073967135e-14,0.0,5.6663116073967135e-14
420,1.924487930435583e-16,0.49999999999992895,0.5000000000000119,0.0,2.9581547045560306e-14,0.0,2.9581547045560306e-14
425,1.090532998382991e-15,0.49999999999997613,0.49999999999999495,1.8979989528443457e-32,1.3957794992975685e-14,6.860182758470043e-33,1.3857061016562549e-14
430,1.0263746563444956e-15,0.4999999999999573,0.4999999999998615,0.0,9.019098151295947e-14,0.0,9.019098151295947e-14
435,5.131827644296426e-16,0.5000000000000355,0.4999999999999083,0.0,2.7820431990474693e-14,0.0,2.7820431990474693e-14
440,5.131783043445884e-16,0.4999999999998434,0.4999999999998516,4.357340310717524e-32,1.5213757178600092e-13,1.8799647528369657e-32,1.523730499654481e-13
445,1.5395218332649238e-15,0.4999999999999794,0.49999999999994654,0.0,3.628281360927507e-14,0.0,3.628281360927507e-14
450,7.697545220023854e-16,0.49999999999989997,0.49999999999985534,1.7127146930438798e-32,1.2203866598472844e-13,1.0302375606449043e-32,1.2191043620717805e-13
455,2.565827559478488e-16,0.5000000000000339,0.4999999999998312,0.0,6.741348587338198e-14,0.0,6.741348587338198e-14
460,6.414517912922874e-17,0.4999999999998619,0.4999999999997788,0.0,1.796420194491122e-13,0.0,1.796420194491122e-13
465,1.9243404069393497e-16,0.49999999999999967,0.4999999999999985,0.0,7.532615036928931e-16,0.0,7.532615036928931e-16
470,6.414419194350314e-17,0.49999999999974604,0.5000000000000256,0.0,1.141695206068169e-13,0.0,1.141695206068169e-13
475,8.338682810771053e-16,0.49999999999997063,0.4999999999998759,0.0,7.632080919918133e-14,0.0,7.632080919918133e-14
480,1.2187216714515438e-15,0.49999999999993294,0.49999999999995864,1.2469331555722645e-32,5.3773650797146273e-14,2.26016847315683e-33,5.353818745612107e-14
485,7.697134494161214e-16,0.4999999999998579,0.5000000000000443,0.0,4.858715926333874e-14,0.0,4.858715926333874e-14
490,1.9242701515439127e-16,0.49999999999990935,0.5000000000000264,0.0,3.195866954421583e-14,0.0,3.195866954421583e-14
495,6.414189838691577e-17,0.49999999999995126,0.4999999999999217,7.809943822053528e-32,6.35101257432337e-14,3.8567705673208303e-32,6.362744778979492e-14
500,7.055561390327143e-16,0.4999999999999904,0.499999999999965,6.06094900913186e-32,2.1858084087764378e-14,2.0276424444861318e-32,2.2093478261280446e-14
