M,X,Y_{cj},Y_{rj},Z,U,W
170,0.004291845464335113,0.0042918454643350226,0.004291845464334139,0.005722460619112511,0.49070100149394164,0.4907010014939415
175,0.004172461742277931,0.00417246174227929,0.004172461742277137,0.005563282323037346,0.49095966622506415,0.49095966622506415
180,0.004059539950449905,0.0040595399504491795,0.004059539950449451,0.0054127199339323905,0.4912043301073596,0.49120433010735953
185,0.003952569166106314,0.00395256916610663,0.003952569166104134,0.005270092221473091,0.49143610014010497,0.49143610014010497
190,0.0038510911462475437,0.003851091146247203,0.0038510911462472943,0.005134788194995681,0.4916559691831311,0.4916559691831311
195,0.0037546933465483134,0.003754693346548449,0.003754693346547951,0.005006257795397351,0.491864831082479,0.491864831082479
200,0.003663003663003836,0.0036630036630037224,0.003663003663004063,0.004884004884005666,0.4920634920634914,0.4920634920634914
205,0.003575685353669355,0.0035756853536692192,0.0035756853536693775,0.004767580471558928,0.4922526817337166,0.49225268173371656
210,0.0034924330890211954,0.0034924330890205376,0.0034924330890218447,0.004656577452027932,0.4924330616404543,0.4924330616404543
215,0.0034129692899552847,0.0034129692899545153,0.003412969289956173,0.004550625719939892,0.49260523320509714,0.49260523320509714
220,0.003337041124176973,0.003337041124177064,0.003337041124178492,0.00444938816557068,0.49276974423093417,0.49276974423096265
225,0.003264417813513469,0.0032644178135127896,0.003264417813512699,0.004352557084683681,0.4929270947373887,0.4929270947373887
230,0.0031948881883051236,0.0031948881883052376,0.0031948881883060304,0.004259850917740739,0.49307774225867146,0.49307774225867146
235,0.0031282585674484195,0.0031282585674486914,0.003128258567447649,0.004171011423263849,0.4932221064371957,0.4932221064371957
240,0.0030643514029967713,0.0030643514029963406,0.003064351402996862,0.004085801870662105,0.49336057196017397,0.49336057196017397
245,0.003003003036880754,0.003003003036880595,0.003003003036880777,0.004004004049174444,0.4934934934200917,0.4934934934200917
250,0.002944062806672858,0.0029440628066725863,0.002944062806672495,0.003925417075563682,0.4936211972522092,0.4936211972522092
255,0.0028873917029676194,0.0028873917029685254,0.0028873917029663496,0.00384985560395749,0.49374398464356994,0.49374398464356994
260,0.0028328611564175654,0.0028328611564175875,0.00283286115641786,0.0037771482085571617,0.4938621341610949,0.4938621341610949
265,0.002780352173845625,0.0027803521738457605,0.002780352173846463,0.0037071362317944757,0.4939759036233339,0.4939759036233339
270,0.0027297543194287977,0.002729754319428277,0.002729754319430226,0.0036396724259055773,0.4940855323079036,0.4940855323079036
275,0.002680965121096728,0.0026809651210958443,0.0026809651210953907,0.003574620161460521,0.4941912422376257,0.4941912422376257
280,0.0026338893973660454,0.002633889397366265,0.0026338893973671114,0.0035118525298232046,0.4942932396390387,0.4942932396390387
285,0.0025884382872442546,0.0025884382872443,0.002588438287242215,0.003451251049657556,0.49439171704430585,0.49439171704430585
290,0.0025445292896243915,0.0025445292896240433,0.0025445292896251193,0.0033927057194993605,0.49448685320581354,0.49448685320581354
295,0.002502085064734925,0.002502085064735084,0.002502085064733044,0.003336113419645064,0.49457881569307593,0.49457881569307593
300,0.002461033609898715,0.0024610336098983975,0.0024610336098973775,0.003281378146530351,0.49466776051188754,0.49466776051188754
305,0.002421307488171538,0.002421307488171934,0.002421307488171881,0.003228409984229599,0.49475383377562754,0.49475383377562754
310,0.00238284356181246,0.0023828435618128223,0.0023828435618130266,0.003177124749084239,0.4948371722827387,0.4948371722827387
315,0.002345582504804928,0.0023455825048061523,0.0023455825048061523,0.0031274433397420346,0.49491790457292034,0.49491790457292034
320,0.002309468822171237,0.0023094688221704895,0.0023094688221727104,0.0030792917628954214,0.494996150885295,0.494996150885295
325,0.002274450357980145,0.002274450357979501,0.002274450357979526,0.0030326004773054147,0.49507202422437774,0.49507202422437774
330,0.002240477946546169,0.0022404779465457383,0.0022404779465469396,0.0029873039287283687,0.4951456311158164,0.4951456311158164
335,0.0022075054991731466,0.0022075054991736445,0.0022075054991718317,0.00294334066556387,0.4952170714184587,0.4952170714184587
340,0.002175489506589819,0.002175489506591134,0.0021754895065900235,0.002900652675454581,0.49528643940238726,0.49528643940238726
345,0.0021443888311983616,0.0021443888311977496,0.002144388831198588,0.0028591851082638625,0.4953538241990707,0.4953538241990707
350,0.0021141649361502706,0.002114164936149345,0.0021141649361508296,0.0028188865815339764,0.4954193093050078,0.4954193093050078
355,0.0020847810918135693,0.0020847810918129244,0.002084781091813844,0.0027797081224180185,0.49548297430107086,0.49548297430107086
360,0.0020562028949190746,0.002056202894918871,0.00205620289491912,0.002741603859892303,0.4955448937276753,0.4955448937276753
365,0.0020283975459003986,0.002028397545900965,0.0020283975459014633,0.00270453006120143,0.49560513865054795,0.49560513865054795
370,0.002001334220839315,0.002001334220839474,0.002001334220839429,0.0026684456277856253,0.49566377585484805,0.49566377585484805
375,0.001974983566182523,0.0019749835661839058,0.001974983566181753,0.002633311421577763,0.495720868939937,0.495720868939937
380,0.001949317704136412,0.0019493177041356195,0.0019493177041362538,0.0025990902721810295,0.4957764783077054,0.4957764783077054
385,0.0019243104573208056,0.0019243104573205337,0.0019243104573204656,0.00256574727642762,0.4958306606758052,0.4958306606758052
390,0.0018999366950554185,0.001899936695054817,0.0018999366950554694,0.0025332489267398837,0.49588347049404724,0.49588347049404724
395,0.0018761726301267764,0.001876172630127746,0.0018761726301256814,0.002501563506835469,0.4959349593013922,0.4959349593013922
400,0.0018529956763422366,0.001852995676341783,0.0018529956763419194,0.0024706609017889685,0.4959851760345925,0.4959851760345925
405,0.0018303843789110542,0.0018303843789113717,0.0018303843789108957,0.0024405125052139156,0.4960341671790264,0.4960341671790264
410,0.0018083182711654655,0.0018083182711656689,0.0018083182711675673,0.0024110910282223014,0.49608197707913954,0.49608197707913954
415,0.0017867778775201197,0.0017867778775188053,0.0017867778775213208,0.002382370503359948,0.49612864793206674,0.496128647932013
420,0.001765744569589946,0.001765744569591555,0.0017657445695896058,0.0023543260927875844,0.4961742200992207,0.4961742200992207
425,0.0017452007153398415,0.0017452007153410654,0.0017452007153407937,0.002326934287121126,0.4962187317834286,0.4962187317834286
430,0.0017251293881161782,0.001725129388116541,0.0017251293881154304,0.0023001725174880867,0.4962622196590819,0.4962622196590819
435,0.0017055145154320705,0.0017055145154327273,0.0017055145154324554,0.0022740193539100765,0.4963047185498964,0.4963047185498964
440,0.0016863406608297446,0.0016863406608304927,0.001686340660829722,0.002248454214440589,0.49634626190153475,0.49634626190153475
445,0.0016675930990313276,0.0016675930990315542,0.0016675930990298774,0.0022234574653742043,0.4963868816187665,0.4963868816187665
450,0.0016492578176553294,0.0016492578176567118,0.0016492578176560318,0.0021990104235415494,0.4964266080617452,0.4964266080617452
455,0.0016313213719251608,0.0016313213719254913,0.0016313213719249353,0.0021750951625663286,0.49646547036082905,0.49646547036082905
460,0.0016137708125954053,0.0016137708125961532,0.001613770812596289,0.0021516944167954146,0.4965034965727383,0.49650349657267834
465,0.0015965939076565626,0.0015965939076576275,0.0015965939076561999,0.002128791876875991,0.4965407132000768,0.4965407132000768
470,0.0015797788497289714,0.0015797788497274982,0.0015797788497287897,0.0021063717996381752,0.4965771458255578,0.49657714582561885
475,0.0015633142571162017,0.0015633142571177653,0.0015633142571153406,0.0020844190094889414,0.4966128191095809,0.4966128191095809
480,0.0015471892483087711,0.0015471892483108006,0.0015471892483079016,0.002062918997745188,0.4966477566286637,0.4966477566286637
485,0.00153139359013595,0.0015313935901352473,0.0015313935901362444,0.0020418581201810475,0.49668198055470575,0.49668198055470575
490,0.0015159171103462656,0.0015159171103470363,0.0015159171103454046,0.00202122281379521,0.49671551292758304,0.49671551292758304
495,0.001500750360322344,0.0015007503603218636,0.00150075036032286,0.0020010004804299764,0.4967483742193015,0.4967483742193015
500,0.0014858841010411386,0.0014858841010419036,0.00148588410104084,0.00198117880138816,0.496780584447744,0.496780584447744
