M,X,Y_{cj},Y_{rj},Z,T,U,V,W
135,0.005374417766211616,0.005374417766212783,0.0053744177662143665,0.00429953421297144,0.0007165890354952304,0.4890720172086997,0.0007165890354951308,0.4890720172086997
140,0.005188516054247159,0.00518851605424651,0.00518851605424673,0.004150812843396707,0.0006918021405656723,0.48945001735636573,0.0006918021405656723,0.48945001735636573
145,0.005015045118389062,0.005015045118388744,0.005015045118388167,0.0040120360947105615,0.0006686726824522525,0.48980274159260956,0.0006686726824521983,0.48980274159260945
150,0.004852798470650328,0.004852798470647928,0.004852798470647187,0.0038822387765172998,0.0006470397960860226,0.49013264310968263,0.0006470397960860226,0.49013264310968263
155,0.004700720774901141,0.004700720774900549,0.004700720774898624,0.0037605766199196406,0.0006267627699865915,0.49044186775770343,0.0006267627699866445,0.49044186775770343
160,0.004557885141290992,0.004557885141287457,0.0045578851412881125,0.003646308113029251,0.0006077180188379384,0.4907323002127141,0.0006077180188380287,0.49073230021271413
165,0.004423473929484307,0.004423473929485622,0.004423473929484813,0.0035387791435876285,0.0005897965239313308,0.4910056030100474,0.0005897965239313308,0.4910056030100474
170,0.004296763075834057,0.0042967630758336236,0.0042967630758319565,0.003437410460665744,0.0005729017434444233,0.4912632484124729,0.0005729017434444183,0.4912632484124729
175,0.004177109430092048,0.004177109430095242,0.00417710943009475,0.003341687544077226,0.0005569479240132612,0.4915065441588071,0.0005569479240131634,0.4915065441588071
180,0.004063939343548656,0.0040639393435477145,0.00406393934354583,0.0032511514748375507,0.000541858579139775,0.491736656668126,0.0005418585791397161,0.4917366566681147
