M,X_{cj},X_{rj},Y_{cj},Y_{rj},U,W
210,1.6414917612770363e-15,4.72972202401858e-16,0.49999999999999883,0.4999999999999987,1.5758494795098666e-16,1.5693287230429295e-16
215,3.338441603648477e-16,5.007662405472716e-16,0.49999999999997746,0.5000000000000194,1.0541303240686923e-15,1.0541303240686923e-15
220,6.398340033415649e-16,5.841962639205592e-16,0.5000000000000201,0.4999999999999774,8.16961962826407e-16,4.820488517023066e-16
225,1.94722210062365e-16,2.781745858033786e-17,0.49999999999999983,0.4999999999999996,1.1279110158746363e-16,1.1279110158746363e-16
230,5.563221799650793e-17,1.0013799239371428e-15,0.5000000000000213,0.4999999999999767,4.822183270869184e-16,4.822183270869184e-16
235,8.066296936158358e-16,1.5298149361679646e-15,0.499999999999975,0.5000000000000211,7.577364605706948e-16,7.577364605706948e-16
240,3.893901065846331e-16,4.728308437099116e-16,0.49999999999999734,0.4999999999999987,1.4921550568731448e-15,1.4921550568731448e-15
245,2.781239174129347e-17,6.396850100497499e-16,0.49999999999999906,0.49999999999999906,6.392504414287921e-16,6.392504414287921e-16
250,2.7811252070392626e-16,1.473996359730809e-15,0.4999999999999734,0.5000000000000223,1.1589470198708926e-15,1.3488457254140421e-15
255,5.562031444093076e-17,1.9467110054325766e-16,0.5000000000000245,0.49999999999997463,3.63270178692329e-16,3.63270178692329e-16
260,3.337092551805239e-16,1.1123641839350796e-15,0.5000000000000242,0.499999999999973,7.116306414998738e-16,5.137080298661125e-16
265,9.454751214744262e-16,6.673942033937126e-16,0.49999999999997286,0.5000000000000249,3.868149020646176e-16,3.868149020646176e-16
270,5.00528099329773e-16,1.4181629481010235e-15,0.5000000000000249,0.49999999999997213,6.784501971384033e-16,4.730468473483424e-16
275,3.3367412406653463e-16,1.6683706203326732e-16,0.49999999999997163,0.5000000000000253,1.2702860940618889e-15,1.2702860940618889e-15
280,5.283001495431634e-16,1.0287950280577392e-15,0.5000000000000262,0.4999999999999714,3.0129617903633534e-16,5.149405857286467e-16
285,7.785231137644929e-16,3.6145715996208604e-16,0.5000000000000265,0.49999999999997113,6.143033944547952e-16,6.143033944547952e-16
290,4.1705329546746496e-16,5.00463954560958e-16,0.499999999999999,0.4999999999999986,8.5430760993413525e-16,8.5430760993413525e-16
295,1.112109512719183e-16,1.6959670068967539e-15,0.49999999999996925,0.5000000000000272,1.0098041259045862e-15,1.0098041259045862e-15
300,1.1120779938064767e-16,2.2797598873032772e-15,0.49999999999999756,0.4999999999999973,1.3582772918493753e-15,1.3582772918493753e-15
305,2.780118777001672e-16,6.394273187103845e-16,0.5000000000000283,0.4999999999999689,9.210229432715304e-16,9.210229432715304e-16
310,1.1676189141516772e-15,4.170067550541704e-16,0.49999999999996936,0.5000000000000284,3.8247338315124684e-16,2.729005144403985e-16
315,5.28194990984707e-16,5.559947273523231e-16,0.49999999999999906,0.4999999999999991,3.002588713142917e-16,3.005846494748497e-16
320,0.0,1.4177512828064906e-15,0.5000000000000301,0.4999999999999676,5.685773373755197e-16,3.2468415560595944e-16
325,3.891772427635075e-16,1.890289464851322e-15,0.49999999999996475,0.5000000000000285,2.2807697564187255e-15,2.032973308877898e-15
330,1.195302156117015e-15,2.779772456086081e-16,0.4999999999999975,0.49999999999999944,8.388180555962883e-16,7.408745104638802e-16
335,3.891593171558022e-16,5.281447875685887e-16,0.5000000000000323,0.49999999999996647,1.4897505109870554e-16,1.4897505109870554e-16
340,7.505050190899833e-16,1.5010100381799666e-15,0.4999999999999986,0.4999999999999986,2.659124409362513e-16,2.655867009106046e-16
345,4.725300971353036e-16,9.728560823373896e-16,0.499999999999965,0.5000000000000326,4.77958981523347e-16,4.77958981523347e-16
350,4.447249753161659e-16,5.559062191452074e-17,0.49999999999999883,0.4999999999999986,1.13265892150836e-15,8.652376289781559e-16
355,8.894320043638663e-16,8.060477539547539e-16,0.4999999999999978,0.49999999999999767,1.3703028963716257e-15,1.3703028963716257e-15
360,4.16913073901621e-16,4.16913073901621e-16,0.5000000000000347,0.49999999999996436,3.9411314017262605e-17,3.9411314017262605e-17
365,7.782228911356082e-16,1.000572288602925e-15,0.499999999999961,0.5000000000000325,2.3989415461122205e-15,2.399484391320881e-15
370,6.948289700115789e-16,7.504152876125051e-16,0.4999999999999989,0.4999999999999987,4.038693388192302e-16,4.038693388192302e-16
375,1.9454859691084217e-16,1.1394989247635041e-15,0.4999999999999621,0.5000000000000353,6.097014063902286e-16,6.097014063902286e-16
380,9.44933706551194e-16,8.337650351922298e-17,0.49999999999996175,0.500000000000036,5.997028716669112e-16,5.998114348225352e-16
385,5.836255257359544e-16,1.9454184191198477e-16,0.4999999999999612,0.5000000000000367,5.392239557906409e-16,8.332079445728143e-16
390,4.1686841692779535e-16,1.1116491118074543e-16,0.4999999999999609,0.5000000000000376,6.124926063298492e-16,3.1417114546589575e-16
395,3.890708591629801e-16,2.5011698089048725e-16,0.49999999999999944,0.4999999999999993,2.4664313393367485e-16,2.4664313393367485e-16
400,6.11387366431533e-16,1.0560327238362843e-15,0.4999999999999978,0.4999999999999977,1.4630091508163656e-15,1.4630091508163656e-15
405,1.667394295538358e-16,4.724283837358682e-16,0.49999999999999956,0.4999999999999996,1.4578844654349058e-16,1.4578844654349058e-16
410,3.0568434070015855e-16,3.6126331173655104e-16,0.49999999999995903,0.5000000000000392,6.772601568282276e-16,6.772601568282276e-16
415,1.3894538117621835e-16,1.9452353364670572e-16,0.4999999999999587,0.5000000000000395,8.209718108091714e-16,8.209718108091714e-16
420,5.557735342673655e-17,5.557735342673655e-17,0.49999999999995887,0.5000000000000409,1.2309515387874854e-16,1.2309515387874854e-16
425,1.9451800626121725e-16,2.5009457947870785e-16,0.49999999999995776,0.5000000000000407,4.844496997454311e-16,4.85209535707389e-16
430,3.8903067828185726e-16,2.778790559156124e-16,0.49999999999999806,0.49999999999999795,1.6122412568416367e-15,1.9410286241730392e-15
435,4.446005335806779e-16,5.27963133627055e-16,0.5000000000000414,0.4999999999999562,7.511317608345437e-16,7.511317608345437e-16
440,3.0565886538023217e-16,1.6672301748012662e-16,0.49999999999995653,0.5000000000000427,1.777944678596663e-16,1.777944678596663e-16
445,8.336044199646973e-17,6.668835359717579e-16,0.500000000000043,0.4999999999999558,1.1483769222951168e-16,1.1483769222951168e-16
