M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,U,W
340,0.002857142884897271,0.00285714288489842,0.005714285769795853,0.005714285769795524,0.005714285769795894,0.4885714284604085,0.4885714284604085
345,0.002816901385181302,0.0028169013851820665,0.005633802770362636,0.0056338027703618015,0.005633802770361868,0.4887323944592752,0.4887323944592752
350,0.0027777778182852984,0.0027777778182859875,0.0055555556365705396,0.005555555636569867,0.005555555636569023,0.48888888872685965,0.48888888872685965
355,0.0027397260194039234,0.002739726019402874,0.005479452038806564,0.005479452038807332,0.005479452038806679,0.4890410959223863,0.4890410959223863
360,0.0027027027237407904,0.0027027027237398163,0.005405405447482446,0.005405405447480947,0.005405405447481934,0.48918918910503706,0.48918918910503706
365,0.002666666640711129,0.002666666640711283,0.005333333281422892,0.005333333281422067,0.005333333281422508,0.4893333334371552,0.489333333437155
370,0.0026315789448057773,0.0026315789448056745,0.00526315788961238,0.0052631578896115356,0.005263157889612409,0.48947368422077614,0.48947368422077614
375,0.002597402629025892,0.002597402629025933,0.0051948052580503236,0.005194805258050794,0.005194805258049805,0.4896103894838986,0.4896103894838986
380,0.0025641025191333777,0.0025641025191328994,0.00512820503826687,0.0051282050382667746,0.0051282050382673704,0.48974358992346634,0.48974358992346634
385,0.002531645572089367,0.0025316455720895835,0.005063291144179542,0.005063291144180061,0.005063291144180936,0.4898734177116402,0.4898734177116402
390,0.0025000000341241146,0.0025000000341239394,0.005000000068248572,0.005000000068248157,0.005000000068247907,0.4899999998635035,0.48999999986350373
395,0.0024691358313677593,0.0024691358313676005,0.004938271662737784,0.004938271662737072,0.004938271662737226,0.4901234566745263,0.4901234566745263
400,0.002439024390243165,0.0024390243902424843,0.004878048780484815,0.004878048780486114,0.004878048780484248,0.49024390243902943,0.4902439024390297
405,0.0024096385518655923,0.0024096385518654097,0.004819277103731175,0.004819277103731512,0.004819277103731319,0.49036144579253743,0.49036144579253743
410,0.0023809523902493016,0.0023809523902491667,0.004761904780499094,0.004761904780499325,0.004761904780499142,0.490476190439002,0.490476190439002
415,0.002352941220122415,0.002352941220122011,0.004705882440242514,0.004705882440243151,0.004705882440242196,0.4905882351195136,0.49058823511951405
420,0.0023255814135217084,0.0023255814135222314,0.004651162827043109,0.0046511628270440915,0.004651162827044352,0.4906976743459122,0.4906976743459122
425,0.0022988505971732417,0.002298850597173661,0.004597701194347495,0.004597701194346898,0.004597701194347745,0.49080459761130546,0.49080459761130557
430,0.0022727272771682666,0.0022727272771682137,0.0045454545543343605,0.004545454554334852,0.0045454545543334455,0.4909090908913304,0.4909090908913304
435,0.0022471910353982255,0.0022471910353976904,0.004494382070795415,0.004494382070796244,0.004494382070795502,0.49101123585840845,0.49101123585840845
440,0.0022222222482953862,0.002222222248295519,0.004444444496589288,0.004444444496589163,0.0044444444965887776,0.4911111110068208,0.49111111100682103
445,0.0021978021870543048,0.0021978021870550854,0.0043956043741100416,0.004395604374109145,0.00439560437410926,0.4912087912517811,0.4912087912517811
450,0.0021739130222123643,0.0021739130222123548,0.004347826044425376,0.004347826044425313,0.00434782604442566,0.49130434791114946,0.49130434791114946
455,0.0021505376365133313,0.0021505376365132524,0.0043010752730268656,0.0043010752730262,0.004301075273026402,0.4913978494539469,0.491397849453947
460,0.0021276595328202424,0.002127659532820006,0.004255319065640205,0.004255319065640909,0.004255319065640311,0.49148936186871917,0.49148936186871917
465,0.0021052631249173226,0.002105263124917226,0.004210526249833028,0.004210526249834872,0.00421052624983383,0.4915789475003319,0.4915789475003319
470,0.0020833333578101237,0.002083333357810758,0.004166666715619653,0.004166666715620049,0.004166666715618602,0.4916666665687604,0.4916666665687604
475,0.002061855710491194,0.002061855710490357,0.004123711420981785,0.004123711420983938,0.00412371142098332,0.4917525771580347,0.4917525771580347
480,0.0020408162945438897,0.002040816294543675,0.004081632589088729,0.0040816325890886615,0.004081632589088595,0.4918367348218232,0.4918367348218232
485,0.0020202020489042747,0.002020202048904519,0.004040404097809761,0.004040404097808834,0.004040404097809616,0.49191919180438154,0.49191919180438154
490,0.0019999999745227807,0.001999999974522643,0.003999999949046807,0.003999999949047415,0.003999999949048468,0.4920000001019061,0.49200000010190587
495,0.0019801980003927963,0.0019801980003927144,0.00396039600078651,0.003960396000786597,0.003960396000786964,0.4920792079984272,0.4920792079984272
500,0.0019607843137246636,0.0019607843137248275,0.003921568627450437,0.003921568627450476,0.003921568627450167,0.49215686274509973,0.49215686274509973
