M,X,Y_{cj},Y_{rj},U,W
100,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
105,1.9290522613193697e-16,0.4999999999999884,0.5000000000000103,5.402853403773392e-16,6.796895076992467e-16
110,1.2858507587939456e-16,0.4999999999999947,0.500000000000005,5.073083071804238e-17,2.0794617739870837e-16
115,1.9285239678290646e-16,0.4999999999999985,0.5000000000000011,2.5110989164440947e-19,1.2455050625562707e-16
120,5.142114035292662e-16,0.5000000000000022,0.4999999999999964,3.582908558770815e-16,3.987147015646849e-16
125,1.9280800143441567e-16,0.5000000000000063,0.4999999999999913,1.0805281747053713e-15,1.0303177576651586e-15
130,5.141022923257681e-16,0.5000000000000016,0.49999999999999645,7.588531395023423e-16,7.006149891998139e-16
135,7.06823955979196e-16,0.4999999999999919,0.5000000000000066,4.144056645318368e-16,4.144056645318368e-16
140,2.570043689940812e-16,0.49999999999996814,0.5000000000000316,7.027463214681908e-17,7.027463214681908e-17
145,2.5698339538496325e-16,0.49999999999999206,0.5000000000000031,2.405956847222308e-15,2.2476008682302063e-15
150,6.424095437373605e-17,0.49999999999996175,0.4999999999999545,4.1954487501224095e-14,4.179752376309608e-14
155,1.2847275024265938e-16,0.49999999999999684,0.4999999999999835,9.795670820992302e-15,9.795670820992302e-15
160,1.9269624477263029e-16,0.5000000000000314,0.4999999999999671,6.871076384242813e-16,6.871076384242813e-16
165,5.138243828085155e-16,0.49999999999998107,0.49999999999997446,2.204652831568979e-14,2.177293188529297e-14
170,4.495697570911149e-16,0.500000000000001,0.49999999999997874,9.930674812887665e-15,9.930674812887665e-15
175,0.0,0.5000000000000084,0.4999999999999873,2.1427377332055566e-15,1.986450710108084e-15
180,3.2108644603626017e-16,0.499999999999954,0.4999999999999647,4.044623112716524e-14,4.044623112716524e-14
185,2.5685636052205854e-16,0.49999999999998385,0.4999999999999703,2.270118587887436e-14,2.270118587887436e-14
190,2.568442367656861e-16,0.4999999999999993,0.4999999999999962,2.016503165505599e-15,2.173644683409605e-15
195,6.420818347218526e-17,0.49999999999995626,0.49999999999993816,5.278138413308647e-14,5.278138413308647e-14
200,3.852327080957845e-16,0.4999999999999671,0.4999999999999598,3.627432439454271e-14,3.643972867253045e-14
205,8.346370802661475e-16,0.5000000000000261,0.49999999999995165,1.0601370594492326e-14,1.0601370594492326e-14
210,6.420037691389495e-17,0.5000000000000063,0.49999999999998296,5.321985541711804e-15,5.321985541711804e-15
215,7.703761979109058e-16,0.5000000000000023,0.4999999999999935,1.743502772127465e-15,1.743502772127465e-15
220,1.2839152646749578e-16,0.49999999999992667,0.49999999999993533,6.891427721377841e-14,6.891427721377841e-14
225,1.4764530300804323e-15,0.4999999999999077,0.4999999999999211,8.486044183657605e-14,8.488940418796435e-14
230,6.419155028592614e-17,0.49999999999992606,0.500000000000034,1.9967333362572595e-14,1.9967333362572595e-14
235,1.925687343457533e-16,0.4999999999999054,0.5000000000000452,2.4671113904273056e-14,2.4671113904273056e-14
240,2.567507521254547e-16,0.4999999999999917,0.4999999999999966,5.689762150983283e-15,5.731509221519307e-15
245,8.986022501351796e-16,0.49999999999993217,0.4999999999999116,7.755346102167639e-14,7.76654102138319e-14
250,3.851048065886249e-16,0.4999999999999412,0.49999999999993494,6.187826925813306e-14,6.172106827263107e-14
255,1.9254738612419707e-16,0.4999999999999047,0.49999999999999833,4.840987270746755e-14,4.840987270746755e-14
