M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
135,2.6919069279725843e-16,8.412209149914326e-16,5.552058038943454e-16,4.206104574957163e-16,5.215569672946882e-16,0.4999999999999863,6.426927790534546e-15,0.4999999999999863,1.84395624566122e-14
140,6.223168088033549e-16,1.2614529908176116e-15,2.977029058329563e-15,1.0428011390758921e-15,1.4632854693484293e-15,0.4999999999998819,7.896695722518248e-14,0.49999999999995287,7.896695722518248e-14
145,1.7319106249289913e-15,1.815983956236224e-15,4.1027785677929504e-15,3.0770839258447126e-15,2.539014605478424e-15,0.49999999999979317,1.8728175281999132e-13,0.4999999999998215,1.8479318221329722e-13
150,1.681026458143226e-16,4.706874082801033e-16,6.892208478387226e-16,5.043079374429678e-16,5.0430793744296775e-17,0.4999999999999583,5.0027347394342404e-14,0.4999999999999691,2.0676625435161675e-14
155,4.403208528659378e-15,4.235147134435737e-15,1.0436612581288068e-14,1.0839959927424803e-14,7.697211855442728e-15,0.4999999999996996,2.8931769015599693e-13,0.49999999999969946,2.741081339787575e-13
160,2.1674922544172618e-15,1.5794129605831209e-15,5.175097785740439e-15,4.805447943901836e-15,3.746905215000382e-15,0.4999999999999265,5.682526204991612e-14,0.4999999999999266,7.251857806251862e-14
165,4.535627578529132e-16,8.399310330609504e-17,1.2766951702526446e-15,2.6373834438113843e-15,1.8982441347177482e-15,0.4999999999999587,5.2159717153085024e-14,0.49999999999993067,5.2159717153085024e-14
170,1.3772051761874207e-15,1.0916870299046627e-15,3.207880349412162e-15,3.107109238959424e-15,2.3345307254884323e-15,0.49999999999987005,1.3276593802148242e-13,0.49999999999987005,1.1608831924155428e-13
175,2.4012476016605547e-15,2.5355831318233833e-15,6.3809376827343405e-15,5.104750146187472e-15,3.744602903288837e-15,0.4999999999997256,2.940268916438903e-13,0.4999999999997257,2.34449084016676e-13
180,2.400808929086696e-15,3.0387861270258182e-15,5.758583655082075e-15,6.2286721167214285e-15,3.811074314004755e-15,0.4999999999999524,7.800110688487266e-14,0.4999999999998879,6.033921182613696e-14
185,4.784000933186866e-15,4.968646583239692e-15,1.1280170621409031e-14,1.1313742557782273e-14,7.704759397658848e-15,0.49999999999968675,3.3622294277801026e-13,0.4999999999996373,2.9959596019480414e-13
190,2.3664329506659543e-15,2.2825168885856012e-15,6.579019267099675e-15,5.924473982872921e-15,4.514684139922991e-15,0.49999999999976474,2.1596637736999647e-13,0.49999999999976474,2.328502890605635e-13
195,8.054685622055523e-16,1.5438147442273086e-15,3.557486149741189e-15,4.077684596165609e-15,3.440021984419546e-15,0.49999999999979516,1.3528515726044085e-13,0.4999999999999208,1.3528515726044085e-13
200,2.9361685344914143e-15,2.7851655812889986e-15,6.5434613054380085e-15,6.191121081299039e-15,4.563644807895226e-15,0.4999999999996603,3.254281422571169e-13,0.4999999999996657,3.254281422571169e-13
205,1.4427132801526167e-15,1.7446765248357225e-15,2.4828089007277585e-15,2.1808456560446525e-15,1.7111250532042664e-15,0.4999999999996549,3.1654135910697355e-13,0.4999999999996549,3.6415089735200986e-13
210,3.924993482790878e-15,3.2876013787479154e-15,8.487379069624722e-15,8.621566881002187e-15,5.9545841298750514e-15,0.49999999999965106,3.677249236035232e-13,0.4999999999995832,3.677249236035232e-13
215,6.540814859831168e-16,5.869962053694639e-16,9.559652487445556e-16,3.521977232216783e-16,1.0062792092047952e-16,0.4999999999997993,2.0970858719827932e-13,0.49999999999977857,2.0970858719827932e-13
220,8.049244852349431e-15,8.53555339551221e-15,1.9301418385529575e-14,1.7590953854405322e-14,1.2761406942995661e-14,0.4999999999990689,8.842598548109122e-13,0.49999999999912775,8.528174921064222e-13
225,1.2575467494096645e-15,1.0563392695041183e-15,2.6659991087484892e-15,3.638501928291963e-15,2.2300495689531387e-15,0.49999999999994593,2.7481588297099205e-14,0.49999999999994593,6.985253010720885e-14
230,2.6154030305142147e-15,2.514810606263668e-15,5.784064394406437e-15,5.599644949947102e-15,3.721919697270229e-15,0.4999999999998008,2.0038010910708907e-13,0.4999999999998008,1.776629866305073e-13
235,3.252137813216928e-15,3.2689014101922727e-15,8.599725248351978e-15,5.833731747420056e-15,4.727334347047286e-15,0.4999999999995711,3.8231059261971783e-13,0.4999999999996154,4.0542759284871856e-13
240,3.4026583820964687e-15,3.0841829670234004e-15,7.324934546680576e-15,6.3024608456565146e-15,4.592750722632673e-15,0.4999999999996979,3.8299182942129174e-13,0.4999999999995114,3.8299182942129174e-13
245,4.474973535457008e-15,4.324131730891042e-15,9.704156093743849e-15,8.530942058230774e-15,6.134233385682641e-15,0.4999999999992474,6.717488363337711e-13,0.49999999999937594,6.717488363337711e-13
250,2.5808247906685816e-15,2.5808247906685816e-15,5.9995797081776126e-15,4.6086156976224674e-15,3.3684791098986034e-15,0.4999999999995103,4.888987118063281e-13,0.49999999999946804,5.135170989329005e-13
255,3.619526310208675e-15,3.921153502726064e-15,8.51258965549077e-15,6.216871579108418e-15,4.9098204115330625e-15,0.4999999999993545,6.318586971251782e-13,0.4999999999993545,6.318586971251782e-13
