c,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
3.9,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
4.0,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
4.1,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
4.2,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
4.3,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
4.4,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
4.5,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
4.6,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
4.7,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
4.8,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
4.9,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
5.0,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
5.1,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
5.2,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
5.3,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
5.4,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
5.5,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
5.6,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
5.7,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
5.8,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
5.9,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
6.0,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
