c,X,Y_{cj},Y_{rj},T,U,V,W
3.3,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
3.4,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
3.5,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
3.6,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
3.7,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
3.8,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
3.9,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
4.0,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
4.1,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
4.2,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
4.3,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
4.4,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
4.5,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
4.6,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
4.7,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
