N,X,Y_{cj},Y_{rj},Z,T,U,V,W
87,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
88,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
89,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
90,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
91,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
92,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
93,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
94,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
95,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
96,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
97,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
98,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
99,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
100,0.12500000000000064,0.001237623762376234,0.0012376237623765948,0.12500000000000153,0.20750825082508476,0.16625412541253934,0.20750825082508162,0.16625412541253934
