c,X_{cj},X_{rj},Y_{cj},Y_{rj},U,W
4.8,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
4.9,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
5.0,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
5.1,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
5.2,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
5.3,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
5.4,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
5.5,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
5.6,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
5.7,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
5.8,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
5.9,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
6.0,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
6.1,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
6.2,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
6.3,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
6.4,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
6.5,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
6.6,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
6.7,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
6.8,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
6.9,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
7.0,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
7.1,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
