M,X,Y_{cj},Y_{rj},T,U,V,W
270,1.0923642956042115e-15,0.499999999999921,0.5000000000000778,5.931623424377305e-32,7.028079107747685e-18,6.85179240597083e-34,3.2630367285971394e-18
275,3.8552314001287153e-16,0.5000000000000561,0.49999999999994355,3.181639235731957e-32,6.5257823179262104e-18,6.074295446561938e-35,8.031732083601491e-18
280,1.0674896858963242e-15,0.4999999999999901,0.5000000000000069,0.0,9.930136612989063e-16,0.0,9.930136612989063e-16
285,1.1419657104937406e-15,0.49999999999988737,0.5000000000001089,0.0,1.2660924181561037e-15,0.0,1.2660924181561037e-15
290,4.96506830649455e-16,0.5000000000000334,0.4999999999999655,0.0,2.97904098389673e-16,0.0,2.97904098389673e-16
295,2.482534153247268e-16,0.5000000000000837,0.4999999999999149,0.0,6.206335383118171e-16,0.0,6.206335383118171e-16
300,4.965068306494552e-17,0.49999999999993866,0.5000000000000596,0.0,7.447602459741828e-16,0.0,7.447602459741828e-16
305,5.1390901822183325e-16,0.5000000000000632,0.4999999999999364,5.206158485740534e-32,4.642244549367146e-18,3.440077340177166e-34,2.8857195847417396e-18
310,7.199349044417049e-16,0.5000000000000802,0.4999999999999166,0.0,1.266092418156102e-15,0.0,1.266092418156102e-15
315,5.709828552468721e-16,0.5000000000000556,0.4999999999999437,0.0,0.0,0.0,0.0
320,1.9269624477263058e-16,0.5000000000000259,0.4999999999999739,4.3763298309142175e-32,1.3799861279289951e-18,7.162904640992892e-35,2.5090656871436274e-19
325,1.7377739072730876e-16,0.49999999999998507,0.5000000000000141,0.0,2.4825341532472677e-16,0.0,2.4825341532472677e-16
330,8.688869536365448e-16,0.5000000000000168,0.4999999999999813,0.0,3.972054645195633e-16,0.0,3.972054645195633e-16
335,5.958081967793439e-16,0.500000000000034,0.49999999999996514,0.0,1.986027322597813e-16,0.0,1.986027322597813e-16
340,1.9267275304544373e-16,0.4999999999999048,0.500000000000095,7.573526561995334e-32,1.2543799026396076e-19,3.3625323318866903e-34,8.780659318477255e-19
345,1.28444870012833e-16,0.49999999999989975,0.5000000000001001,1.6495956676625624e-33,4.766508848132475e-18,1.9590219010108314e-34,5.89541883847964e-18
350,5.13765366475509e-16,0.4999999999999953,0.5000000000000041,1.1057508058725663e-31,2.3831889558190112e-18,1.055369140288185e-34,1.3797409744215329e-18
355,8.9906538719669e-16,0.5000000000000694,0.4999999999999297,3.959182587550128e-32,5.393388901989073e-18,2.786179144141679e-34,6.5222377419402755e-18
360,1.1559112057306282e-15,0.5000000000001169,0.4999999999998819,4.671232146724959e-32,7.400039185992521e-18,2.0076965516220273e-34,6.271219649146204e-18
365,1.0674896858963209e-15,0.49999999999990785,0.5000000000000902,0.0,4.71681489116979e-16,0.0,4.71681489116979e-16
370,1.9264227039155276e-16,0.49999999999996,0.5000000000000399,5.075425381063398e-32,3.260871764440346e-18,1.6680130346994002e-34,4.5150532123020176e-18
375,2.568502179392413e-16,0.5000000000001296,0.49999999999987016,1.8718425554286296e-32,3.2607937824317735e-18,2.1446693423638465e-34,4.891190673647661e-18
380,1.9860273225978183e-16,0.5000000000001329,0.4999999999998649,0.0,8.937122951690184e-16,0.0,8.937122951690184e-16
