M,X,Y_{cj},Y_{rj},Z,T,V
170,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
175,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
180,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
185,0.1428571428571432,0.21428571428571389,0.21428571428571425,0.2857142857142855,0.07142857142857165,0.07142857142857165
190,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
195,0.14285714285714282,0.21428571428571405,0.21428571428571444,0.28571428571428575,0.07142857142857141,0.07142857142857141
200,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
205,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
210,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
215,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
220,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
225,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
230,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.28571428571428564,0.07142857142857138,0.07142857142857138
235,0.14285714285714285,0.21428571428571405,0.21428571428571436,0.2857142857142859,0.0714285714285714,0.0714285714285714
240,0.14285714285714285,0.21428571428571405,0.21428571428571436,0.2857142857142859,0.0714285714285714,0.0714285714285714
245,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
250,0.14285714285714282,0.21428571428571405,0.21428571428571444,0.28571428571428575,0.07142857142857141,0.07142857142857141
255,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
260,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
265,0.1428571428571428,0.21428571428571438,0.21428571428571438,0.2857142857142857,0.07142857142857137,0.07142857142857137
270,0.1428571428571428,0.21428571428571438,0.21428571428571438,0.2857142857142857,0.07142857142857137,0.07142857142857137
275,0.14285714285714302,0.214285714285714,0.21428571428571444,0.2857142857142857,0.07142857142857144,0.07142857142857144
280,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
285,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
290,0.1428571428571428,0.21428571428571438,0.21428571428571438,0.2857142857142857,0.07142857142857137,0.07142857142857137
295,0.14285714285714293,0.21428571428571436,0.21428571428571436,0.2857142857142858,0.07142857142857136,0.07142857142857136
300,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
305,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
310,0.14285714285714285,0.2142857142857144,0.2142857142857144,0.2857142857142858,0.07142857142857134,0.07142857142857134
315,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
320,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
325,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
330,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
335,0.14285714285714285,0.21428571428571405,0.21428571428571436,0.2857142857142859,0.0714285714285714,0.0714285714285714
340,0.14285714285714288,0.21428571428571416,0.21428571428571433,0.2857142857142857,0.07142857142857141,0.07142857142857141
345,0.1428571428571429,0.2142857142857143,0.2142857142857143,0.2857142857142856,0.0714285714285714,0.0714285714285714
350,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
355,0.14285714285714282,0.21428571428571405,0.21428571428571444,0.28571428571428575,0.07142857142857141,0.07142857142857141
360,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
365,0.1428571428571428,0.214285714285714,0.21428571428571433,0.28571428571428614,0.0714285714285714,0.0714285714285714
370,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
