M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
110,0.04814553143458328,0.061099374327691656,0.24503189556658816,0.23035877833152718,0.15846355796603787,0.01586547082170975,0.12005491095760418,0.026378734619164707,0.0946017459750932
115,0.04811782728276997,0.06108188469951656,0.2450462948103085,0.23032501032495717,0.15845710171175562,0.015863997199702506,0.1201105967981408,0.02637903857108144,0.09461824860176737
120,0.04809238111621286,0.061065814971696254,0.24505955919674832,0.23029395341235415,0.15845117086970054,0.015862644871288797,0.12016176495193011,0.026379315504419656,0.09463339510564943
125,0.04806892770186245,0.0610509989864966,0.2450718176899762,0.23026529374789376,0.15844570381262316,0.01586139945229879,0.12020894374085306,0.026379568850375096,0.09464734601762093
130,0.048047241765591935,0.06103729552707791,0.24508318045095365,0.23023876410304736,0.15844064818466663,0.01586024874577419,0.12025258223068513,0.026379801485264837,0.09466023750693828
135,0.04802713076203566,0.06102458382095954,0.2450937421297749,0.23021413554865267,0.15843595922614273,0.015859182342591174,0.12029306451208582,0.02638001583772782,0.0946721858200297
140,0.04800842913334856,0.06101275996588935,0.24510358450388772,0.230191210824359,0.1584315984427494,0.01585819130513769,0.12033072105372442,0.026380213972353024,0.09468329079855105
145,0.04799099374610331,0.06100173408685606,0.24511277859037128,0.2301698190523243,0.15842753254756484,0.0158572679164144,0.12036583773400386,0.0263803976551651,0.09469363867119686
150,0.04797470020913532,0.060991428040018864,0.24512138636350722,0.23014981145755684,0.15842373260702164,0.015856405478009584,0.12039866313621739,0.026380568405659045,0.09470330430287406
155,0.04795943989920675,0.06098177355672658,0.2451294621509014,0.23013105790164248,0.15842017335084765,0.015855598147195494,0.1204294144461055,0.026380727538289836,0.09471235300908426
160,0.04794511756399833,0.06097271074700117,0.2451370537638113,0.2301134440837599,0.15841683261585693,0.01585484080582291,0.12045828220748989,0.026380876195580556,0.09472084201667913
165,0.047931649302905735,0.06096418683769727,0.24514420345759363,0.23009686917409292,0.15841369087722904,0.01585412895013946,0.1204854343327988,0.026381015375510332,0.09472882169203267
170,0.04791896092116086,0.060956155143505344,0.24515094871755702,0.23008124388158427,0.15841073086638008,0.01585345860108377,0.12051101937375228,0.026381145953654057,0.09473633654132235
175,0.04790698660092681,0.060948574235964094,0.24515732289456474,0.23006648889267375,0.15840793726241278,0.015852826231890316,0.12053516916272213,0.026381268700987556,0.09474342601785776
180,0.04789566770985738,0.06094140719744572,0.2451633557817347,0.2300525334642509,0.15840529641532827,0.01585222870339995,0.1205580011845795,0.026381384299443467,0.09475012524396016
185,0.04788495185805547,0.060934621030756045,0.24516907407020355,0.23003931431071586,0.1584027961269726,0.015851663212838728,0.1205796204536583,0.02638149335425932,0.09475646558254007
190,0.047874792114308354,0.06092818616832688,0.2451745017288377,0.23002677467800595,0.15840042546894764,0.015851127251277075,0.1206001210742203,0.026381596404186667,0.09476247511188941
195,0.0478651462769567,0.06092207601497094,0.24517966036193103,0.23001486347746627,0.15839817461313213,0.015850618564193928,0.1206195876945336,0.02638169393072079,0.09476817906609449
200,0.047855976322723155,0.06091626660252305,0.24518456947762526,0.23000353463319467,0.15839603470360603,0.015850135121604214,0.12063809660499705,0.02638178636519519,0.09477360016853136
205,0.04784724787793885,0.06091073625799624,0.24518924674897213,0.22999274645214254,0.15839399773370452,0.01584967508951501,0.12065571679356,0.026381874095377164,0.09477875895079367
210,0.0478389298062638,0.06090546534499511,0.24519370821646247,0.22998246113407722,0.1583920564501805,0.015849236807634514,0.12067251076806465,0.026381957470668793,0.09478367400165275
215,0.04783099382808426,0.060900436024767045,0.24519796847665973,0.22997264431742004,0.15839020426469333,0.015848818768849693,0.12068853531630522,0.02638203680681482,0.09478836219640582
220,0.04782341420811908,0.06089563206008357,0.24520204083681388,0.22996326470670095,0.15838843518117135,0.01584841960237399,0.12070384212977299,0.026382112389768477,0.09479283888519571
225,0.047816167476067456,0.06089103863977813,0.24520593745384445,0.22995429373866252,0.15838674373083578,0.015848038058696643,0.12071847836180108,0.026382184479116506,0.09479711806119764
230,0.047809232173594285,0.06088664221972661,0.24520966946092415,0.22994570527906955,0.1583851249133311,0.015847672995982765,0.12073248713348125,0.026382253311139758,0.09480121251275071
235,0.04780258863521475,0.06088243038508793,0.24521324707733785,0.22993747535993328,0.15838357414575743,0.015847323368288042,0.12074590797190472,0.02638231910143909,0.09480513395503681
240,0.04779621884657747,0.06087839176145087,0.24521667967786762,0.2299295820112849,0.15838208722971772,0.015846988217899392,0.12075877709272952,0.026382382046740416,0.09480889311573228
245,0.04779010621518348,0.060874515870315386,0.2452199759103709,0.22992200498341553,0.1583806602979287,0.015846666663087226,0.12077112786016281,0.026382442327497042,0.09481249987203913
250,0.04778423547644722,0.06087079307025135,0.2452231437413309,0.22991472563582654,0.1583792897923856,0.015846357893011427,0.12078299097404153,0.026382500109109742,0.09481596330759554
