M,X,Y_{cj},Y_{rj},U,W
150,5.794437719583486e-16,0.49999999999999456,0.5000000000000044,1.257473463451277e-16,1.2826229327203028e-16
155,3.4755478145461856e-16,0.4999999999999979,0.5000000000000019,2.482534153247275e-17,2.482534153247275e-17
160,2.482534153247273e-17,0.49999999999999645,0.5000000000000033,1.4895204919483638e-16,1.4895204919483638e-16
165,1.28713839406461e-16,0.5000000000000261,0.4999999999999738,6.83792271846824e-17,6.611667922636572e-17
170,1.9304805331867093e-16,0.499999999999999,0.5000000000000008,5.152975381553066e-17,5.328930638484146e-17
175,7.0776434953564e-16,0.5000000000000252,0.4999999999999741,4.649730279264681e-17,4.649730279264681e-17
180,5.95808196779344e-16,0.49999999999999656,0.500000000000002,5.21332172181926e-16,5.21332172181926e-16
185,6.432909244749226e-17,0.5000000000000133,0.4999999999999865,3.61851145017144e-17,3.46774013974763e-17
190,7.718765792658259e-16,0.4999999999999962,0.500000000000003,2.738754789712729e-17,3.015142887757133e-17
195,2.482534153247273e-17,0.5000000000000229,0.49999999999997685,1.737773907273091e-16,1.737773907273091e-16
200,3.215593199740536e-16,0.500000000000041,0.4999999999999588,2.2358421466945912e-17,1.934380284218916e-17
205,7.447602459741818e-17,0.5000000000000371,0.4999999999999629,4.9650683064945446e-17,4.9650683064945446e-17
210,1.241267076623635e-16,0.49999999999999695,0.5000000000000022,2.9790409838967237e-16,2.9790409838967237e-16
215,0.0,0.49999999999996564,0.5000000000000344,1.7581220027853914e-17,1.557193773895632e-17
220,6.454588798442896e-16,0.4999999999999951,0.5000000000000033,4.468561475845081e-16,4.468561475845081e-16
225,7.714589031772061e-16,0.49999999999996025,0.500000000000039,4.520267010803942e-18,5.022518900893268e-18
230,2.979040983896724e-16,0.49999999999995237,0.5000000000000465,5.213321721819266e-16,5.213321721819266e-16
235,9.64202955809729e-16,0.4999999999999327,0.5000000000000664,3.515323276389637e-18,2.0087561579369355e-18
240,2.234280737922547e-16,0.4999999999999966,0.5000000000000017,7.695855875066552e-16,7.695855875066552e-16
245,7.712736891278792e-16,0.500000000000068,0.4999999999999312,7.783035274402427e-18,6.5277070043375186e-18
250,3.8561600286883184e-16,0.5000000000000168,0.4999999999999828,8.033666726433997e-18,7.029458385629748e-18
255,3.21329980618475e-16,0.49999999999993766,0.5000000000000621,9.539483799610976e-18,1.0794679036401894e-17
260,3.4755478145461797e-16,0.49999999999997763,0.5000000000000211,4.2203080605203608e-16,4.2203080605203608e-16
265,3.855581869358486e-16,0.5000000000000709,0.4999999999999287,6.024346670872635e-18,6.024346670872635e-18
270,1.4895204919483604e-16,0.5000000000000695,0.4999999999999287,7.944109290391257e-16,7.944109290391257e-16
275,4.965068306494539e-16,0.4999999999999556,0.500000000000043,4.468561475845084e-16,4.468561475845084e-16
280,2.5700436900259586e-16,0.5000000000000276,0.4999999999999721,5.01961658208195e-18,6.525501556706535e-18
285,7.447602459741813e-17,0.4999999999999394,0.5000000000000596,4.2203080605203608e-16,4.2203080605203608e-16
290,1.2849169769674002e-16,0.49999999999994377,0.5000000000000561,2.007682776511563e-18,2.007682776511563e-18
295,0.0,0.4999999999999249,0.5000000000000752,6.273765645215313e-19,1.882129693564594e-18
300,3.8544572622967294e-16,0.49999999999993006,0.5000000000000695,3.5131771921975405e-18,1.882059210105825e-18
305,2.5695450911091667e-16,0.5000000000000278,0.49999999999997197,9.409955167636109e-18,8.280760547519776e-18
310,1.9270912537038106e-16,0.5000000000000367,0.49999999999996303,5.01846680652034e-19,5.01846680652034e-19
315,9.93013661298908e-17,0.4999999999999145,0.5000000000000854,2.48253415324727e-17,2.48253415324727e-17
320,3.853924895452615e-16,0.500000000000032,0.4999999999999676,1.1290795592146332e-18,2.5090656871436293e-19
325,1.0919105736488565e-15,0.4999999999999555,0.5000000000000433,6.648812086786465e-18,5.394319240222982e-18
330,1.2845609569787476e-16,0.49999999999996136,0.5000000000000384,3.1361351488738952e-18,1.7562356833693815e-18
335,0.0,0.500000000000043,0.49999999999995703,1.0035331428384663e-18,1.0035331428384663e-18
340,9.681883197664348e-16,0.5000000000000305,0.4999999999999664,1.0674896858963256e-15,1.0674896858963256e-15
345,3.723801229870903e-16,0.5000000000001039,0.4999999999998942,7.447602459741806e-16,7.447602459741806e-16
350,9.930136612989095e-17,0.5000000000000422,0.49999999999995703,3.723801229870911e-16,3.723801229870911e-16
355,2.568758249133403e-16,0.5000000000000521,0.49999999999994765,4.7662506575717435e-18,4.264540062037877e-18
360,7.706074704870865e-16,0.500000000000042,0.4999999999999572,3.888156182470651e-18,3.888156182470651e-18
365,2.979040983896723e-16,0.4999999999999862,0.5000000000000135,2.4825341532472695e-17,2.4825341532472695e-17
370,1.986027322597816e-16,0.500000000000077,0.4999999999999215,6.702842213767629e-16,6.702842213767629e-16
375,1.284251089696206e-16,0.500000000000068,0.49999999999993183,1.7558120366940313e-18,1.0033211638251609e-18
380,6.421105918929101e-17,0.49999999999998485,0.5000000000000151,6.270611248954199e-19,1.25412224979084e-19
385,2.4825341532472695e-17,0.499999999999924,0.5000000000000757,1.7377739072730886e-16,1.7377739072730886e-16
390,0.0,0.5000000000000672,0.49999999999993294,7.447602459741822e-17,7.447602459741822e-17
395,2.5682720057460686e-16,0.50000000000002,0.49999999999997985,6.270195326528489e-19,6.270195326528489e-19
400,5.136436107944157e-16,0.4999999999999077,0.5000000000000918,3.6366368928315566e-18,2.633426715498714e-18
405,1.9261240744820721e-16,0.4999999999999579,0.500000000000042,2.3825753525494383e-18,3.2603662719097576e-18
410,1.2840570465633308e-16,0.500000000000003,0.49999999999999684,3.761885878603508e-19,3.761885878603508e-19
415,2.568063989169885e-16,0.499999999999984,0.5000000000000158,1.880906242067787e-18,2.5078749894237155e-18
420,1.4895204919483609e-16,0.49999999999994277,0.5000000000000567,2.2342807379225417e-16,2.2342807379225417e-16
425,1.283983656723439e-16,0.5000000000000472,0.4999999999999526,2.131613492607272e-18,8.777232028382886e-19
430,3.209900824628788e-16,0.49999999999990524,0.5000000000000945,6.269337548103102e-18,5.7677905442548536e-18
435,1.283937538611733e-16,0.5000000000000182,0.4999999999999816,1.5046143030606246e-18,1.2538452525505205e-19
440,1.9258728970766517e-16,0.5000000000000568,0.499999999999943,1.755352900981323e-18,1.755352900981323e-18
445,1.2838934907328826e-16,0.5000000000000318,0.499999999999968,1.2538022370438307e-19,5.015208948175323e-19
450,2.4825341532472736e-16,0.5000000000000194,0.49999999999997935,4.2203080605203647e-16,4.2203080605203647e-16
455,2.2342807379225446e-16,0.49999999999993655,0.5000000000000632,0.0,0.0
460,2.567662011351872e-16,0.4999999999999101,0.5000000000000897,2.5074824329608126e-18,3.134353041201016e-18
465,4.220308060520357e-16,0.5000000000000071,0.49999999999999123,5.709828552468717e-16,5.709828552468717e-16
470,6.418957811738626e-17,0.5000000000001166,0.4999999999998834,1.8805540464078007e-18,2.5074053952104008e-18
475,1.9256586941537227e-16,0.499999999999986,0.5000000000000138,2.3819996867786936e-18,1.6297892593748956e-18
480,3.2093844014616166e-16,0.4999999999998461,0.5000000000001537,1.2536657818209438e-19,6.26832890910472e-19
485,2.979040983896723e-16,0.5000000000000385,0.49999999999996053,3.22729439922145e-16,3.22729439922145e-16
490,4.965068306494545e-17,0.5000000000000111,0.49999999999998823,2.482534153247272e-16,2.482534153247272e-16
495,1.4895204919483623e-16,0.5000000000000182,0.4999999999999813,1.2412670766236353e-16,1.2412670766236353e-16
500,1.283682688628908e-16,0.5000000000000369,0.4999999999999629,1.128236738052751e-18,5.014385502456672e-19
