M,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
195,1.4530688807845233e-15,1.1178919895263866e-15,0.4999999999999987,0.4999999999999987,0.0,2.180434593519376e-17,0.0,2.7324487698321966e-17
200,0.0,7.251946429389394e-16,0.49999999999999994,0.49999999999999906,0.0,1.3597399555105113e-16,0.0,1.3597399555105113e-16
205,2.7891941324371386e-16,8.088662984067703e-16,0.4999999999999989,0.49999999999999994,3.932116678973593e-32,9.587854830252665e-18,1.2868281653398238e-34,8.716231663866058e-18
210,1.6996749443881397e-15,1.450389285877879e-15,0.4999999999999983,0.49999999999999767,0.0,5.438959822042046e-16,0.0,5.438959822042046e-16
215,7.332629229690938e-16,1.1565510182071225e-15,0.49999999999999906,0.49999999999999906,0.0,1.0140870727118319e-17,0.0,8.913983294396486e-18
220,2.2306066358797453e-16,7.249471566609172e-16,0.4999999999999993,0.4999999999999998,5.342325315174426e-32,1.6990948984240245e-17,1.3129806674189293e-34,1.6119618267099723e-17
225,3.8525965406131305e-16,2.039609933265775e-16,0.5000000000000003,0.49999999999999906,0.0,0.0,0.0,2.2662332591841942e-17
230,7.805567367475813e-16,1.031449973559304e-15,0.5000000000000621,0.49999999999993616,1.8380565493091425e-29,3.0490497529202395e-18,3.995639242196039e-32,4.355785361314628e-19
235,9.477304973688233e-16,3.3449311671840817e-16,0.49999999999999983,0.499999999999999,1.9992120195962075e-32,5.661992861118889e-18,1.3993821672857847e-35,9.146296160268974e-18
240,9.744803014492053e-16,1.8129866073473588e-16,0.5000000000000655,0.49999999999993333,0.0,2.2662332591841985e-17,0.0,2.2662332591841985e-17
245,1.382402288102359e-15,3.1727265628578736e-16,0.5000000000000668,0.4999999999999314,0.0,2.266233259184195e-17,0.0,2.266233259184195e-17
250,4.0792198665315483e-16,1.4503892858778839e-15,0.5000000000000671,0.4999999999999299,0.0,6.79869977755258e-16,0.0,6.79869977755258e-16
255,1.0240290132578357e-16,7.23267676089145e-16,0.49999999999999956,0.49999999999999956,0.0,5.978805990826327e-18,0.0,5.978805990826327e-18
260,2.8524690545692866e-16,6.877255077079316e-17,0.49999999999999983,0.49999999999999983,0.0,4.379593513066458e-18,0.0,4.379593513066458e-18
265,1.0650726614571516e-16,3.699021577987751e-17,0.49999999999999994,0.49999999999999994,0.0,9.664700547175023e-18,0.0,8.438267032999309e-18
270,2.2662332591842013e-17,5.892206473878922e-16,0.49999999999999883,0.49999999999999967,0.0,4.532466518368402e-16,0.0,4.532466518368402e-16
