M,X,Y_{cj},Y_{rj},Z,T,U,V,W
90,0.06744017403840133,0.22238336959133384,0.22238336959133365,0.1779066956730667,0.02223833695913324,0.132704858593799,0.022238336959133236,0.13270485859379896
95,0.0674002751038823,0.22237505731330864,0.22237505731330895,0.17790004585064684,0.022237505731330882,0.13273727647809574,0.022237505731330882,0.1327372764780957
100,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
105,0.06733167082131024,0.222360764754439,0.22236076475443975,0.1778886118035518,0.02223607647544397,0.13279301745768565,0.02223607647544397,0.13279301745768565
110,0.06730196545625247,0.22235457613671908,0.2223545761367201,0.1778836609093756,0.022235457613671756,0.1328171530667946,0.02223545761367169,0.1328171530667947
115,0.06727480045789481,0.22234891676206128,0.2223489167620619,0.17787913340965003,0.022234891676205938,0.13283922462795994,0.022234891676205952,0.13283922462796002
120,0.0672498633109908,0.22234372152312293,0.22234372152312293,0.17787497721849815,0.022234372152312287,0.13285948605982023,0.022234372152312276,0.13285948605982031
125,0.0672268907563029,0.2223389355742295,0.22233893557422993,0.1778711484593837,0.02223389355742295,0.132878151260504,0.02223389355742295,0.132878151260504
130,0.06720565942448244,0.2223345123801008,0.22233451238010066,0.17786760990408046,0.022233451238010012,0.13289540171760778,0.022233451238010026,0.13289540171760778
135,0.06718597857787155,0.22233041220372213,0.22233041220372377,0.17786432976297886,0.022233041220372396,0.13291139240547936,0.022233041220372386,0.13291139240547947
140,0.0671676843558888,0.2223266009074762,0.22232660090747716,0.17786128072598134,0.022232660090747678,0.13292625646084058,0.022232660090747678,0.13292625646084058
145,0.06715063520704027,0.22232304900146724,0.22232304900146665,0.177858439201173,0.022232304900146684,0.13294010889427976,0.022232304900146608,0.13294010889427976
150,0.06713470820766403,0.2223197308765966,0.2223197308765966,0.1778557847012771,0.022231973087659618,0.1329530495812732,0.02223197308765963,0.1329530495812732
155,0.06711979609153493,0.22231662418573594,0.22231662418573672,0.1778532993485894,0.02223166241857368,0.13296516567562786,0.02223166241857363,0.13296516567562777
160,0.06710580485796612,0.22231370934540962,0.22231370934540914,0.17785096747632675,0.022231370934540914,0.1329765335529033,0.02223137093454089,0.1329765335529033
165,0.0670926517599255,0.22231096911665127,0.22231096911665107,0.1778487752933208,0.0222310969116651,0.13298722044506053,0.022231096911665107,0.13298722044506048
170,0.06708026366522596,0.22230838826358953,0.2223083882635877,0.17784671061087046,0.022230838826358883,0.13299728577200418,0.02223083882635897,0.1329972857720041
175,0.06706857573374621,0.2223059532778638,0.2223059532778635,0.17784476262229074,0.022230595327786262,0.1330067822163317,0.022230595327786203,0.13300678221633155
180,0.06705753023394712,0.22230365213207215,0.22230365213207234,0.17784292170565777,0.022230365213207256,0.133015756684918,0.02223036521320725,0.13301575668491805
185,0.0670470756059003,0.22230147408456347,0.22230147408456222,0.17784117926765008,0.022230147408456226,0.13302425107020577,0.022230147408456226,0.13302425107020577
190,0.06703716568289578,0.22229940951726976,0.22229940951727012,0.17783952761381605,0.022229940951726916,0.13303230288264717,0.022229940951726968,0.13303230288264717
195,0.06702775896892037,0.2222974497851918,0.22229744978519173,0.17783795982815317,0.02222974497851915,0.13303994583775233,0.02222974497851915,0.13303994583775233
200,0.06701881809177905,0.222295587102454,0.22229558710245373,0.17783646968196326,0.02222955871024545,0.13304721030042954,0.02222955871024545,0.13304721030042946
