M,X_{cj},X_{rj},Y_{cj},Y_{rj},T,V
155,7.494005416219808e-16,2.7755575615628923e-16,0.5000000000000145,0.4999999999999845,0.0,0.0
160,5.5511151231257784e-17,1.1102230246251557e-16,0.5000000000000154,0.4999999999999843,0.0,0.0
165,3.0929583797940105e-16,3.59497391569636e-16,0.49999999999999967,0.49999999999999967,0.0,0.0
170,6.938893903907221e-16,5.828670879282066e-16,0.500000000000016,0.4999999999999829,0.0,0.0
175,3.7471838842311915e-17,7.019441871898656e-16,0.49999999999999967,0.49999999999999967,0.0,0.0
180,1.387778780781445e-16,2.77555756156289e-16,0.49999999999998224,0.5000000000000173,0.0,0.0
185,8.603409933836121e-16,2.1928943735978738e-16,0.49999999999999944,0.49999999999999944,0.0,0.0
190,8.049116928532374e-16,9.436895709313817e-16,0.5000000000000175,0.4999999999999807,0.0,0.0
195,6.106226635438356e-16,6.661338147750933e-16,0.49999999999998035,0.5000000000000184,0.0,0.0
200,1.6653345369377338e-16,1.6653345369377338e-16,0.4999999999999801,0.5000000000000195,0.0,0.0
205,4.003886893921386e-16,4.995939875661262e-16,0.49999999999999956,0.49999999999999956,0.0,0.0
210,5.955535403868663e-16,4.551563647303736e-16,0.49999999999999956,0.49999999999999956,0.0,0.0
215,1.6653345369377328e-16,5.828670879282064e-16,0.49999999999997824,0.500000000000021,0.0,0.0
220,6.66133814775094e-16,8.326672684688675e-16,0.5000000000000209,0.49999999999997763,0.0,0.0
225,1.7141544695675923e-16,6.113950857228268e-16,0.4999999999999996,0.4999999999999996,0.0,0.0
230,5.638094881357854e-16,8.194976312380615e-18,0.49999999999999967,0.49999999999999967,0.0,0.0
235,1.6653345369377356e-16,3.88578058618805e-16,0.49999999999997674,0.5000000000000226,0.0,0.0
240,2.4364185607813246e-17,3.8881093181745815e-16,0.49999999999999983,0.49999999999999983,0.0,0.0
245,1.1102230246251538e-15,1.1102230246251537e-16,0.5000000000000234,0.49999999999997535,0.0,0.0
250,1.5481997188052565e-16,1.3883846057556856e-16,0.49999999999999983,0.49999999999999983,0.0,0.0
255,2.4980018054066017e-16,2.775557561562891e-16,0.49999999999997463,0.5000000000000248,0.0,0.0
260,6.962164652567123e-16,7.083922224914803e-16,0.4999999999999993,0.4999999999999993,0.0,0.0
265,6.930321996961193e-16,3.287672074383016e-16,0.49999999999999956,0.49999999999999956,0.0,0.0
270,2.0402052158212833e-16,4.946210732373677e-16,0.49999999999999967,0.49999999999999967,0.0,0.0
275,5.551115123125782e-17,4.4408920985006257e-16,0.500000000000027,0.4999999999999726,0.0,0.0
280,9.682155439663696e-16,8.697122032783547e-16,0.49999999999999906,0.49999999999999906,0.0,0.0
285,6.10622663543836e-16,1.6653345369377346e-16,0.5000000000000274,0.49999999999997174,0.0,0.0
290,2.4980018054065993e-16,3.330669073875466e-16,0.49999999999997125,0.5000000000000282,0.0,0.0
295,3.330669073875469e-16,1.0824674490095278e-15,0.5000000000000281,0.4999999999999704,0.0,0.0
300,2.4980018054066017e-16,3.0531133177191805e-16,0.5000000000000291,0.4999999999999704,0.0,0.0
305,5.821308526504289e-16,4.8611444204358945e-16,0.49999999999999944,0.49999999999999944,0.0,0.0
310,3.6082248300317583e-16,1.1102230246251564e-16,0.4999999999999693,0.5000000000000302,0.0,0.0
315,3.2786327094164415e-16,3.5257211053458406e-16,0.49999999999999967,0.49999999999999967,0.0,0.0
320,9.01447289819936e-16,1.7892475958647908e-16,0.49999999999999944,0.49999999999999944,0.0,0.0
325,4.1633363423443405e-16,7.771561172376102e-16,0.5000000000000314,0.4999999999999674,0.0,0.0
330,7.681334000015023e-16,3.5592962639021086e-17,0.4999999999999996,0.4999999999999996,0.0,0.0
335,1.597007178132383e-17,2.3461888562983873e-16,0.49999999999999983,0.49999999999999983,0.0,0.0
340,1.3877787807814442e-16,5.551115123125776e-17,0.5000000000000334,0.4999999999999664,0.0,0.0
345,2.77555756156289e-16,1.1102230246251558e-16,0.5000000000000336,0.4999999999999659,0.0,0.0
350,2.775557561562889e-16,1.1102230246251557e-16,0.5000000000000342,0.4999999999999653,0.0,0.0
355,3.6082248300317553e-16,5.551115123125778e-16,0.4999999999999647,0.5000000000000344,0.0,0.0
360,7.771561172376088e-16,3.3306690738754667e-16,0.4999999999999642,0.5000000000000346,0.0,0.0
