M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,U,W
270,0.0557817589574307,0.05578175895743143,0.22231270358297262,0.22231270358297262,0.222312703582972,0.1107491856681103,0.1107491856681103
275,0.05577768892223222,0.05577768892223184,0.22231107556889287,0.22231107556889254,0.22231107556889293,0.11075569772442882,0.11075569772442878
280,0.055773762766849505,0.055773762766849914,0.2223095051067395,0.22230950510674005,0.22230950510674002,0.11076197957304054,0.11076197957304054
285,0.05576997298160006,0.055769972981599636,0.22230798919264,0.22230798919263955,0.2223079891926398,0.11076804322944045,0.11076804322944045
290,0.055766312597136145,0.05576631259713637,0.22230652503885473,0.2223065250388548,0.22230652503885426,0.1107738998445819,0.1107738998445819
295,0.0557627750834107,0.05576277508341132,0.22230511003336476,0.2223051100333646,0.22230511003336414,0.1107795598665423,0.11077955986654231
300,0.05575935436335211,0.0557593543633518,0.22230374174534123,0.22230374174534043,0.22230374174534098,0.11078503301863672,0.11078503301863672
305,0.055756044747698796,0.05575604474769803,0.2223024178990793,0.22230241789907934,0.2223024178990793,0.11079032840368265,0.11079032840368265
310,0.055752840912023024,0.05575284091202291,0.2223011363648092,0.22230113636480955,0.22230113636480908,0.1107954545407631,0.1107954545407631
315,0.0557497378554365,0.05574973785543682,0.22229989514217482,0.22229989514217427,0.22229989514217474,0.11080041943130128,0.11080041943130135
320,0.05574673090158278,0.05574673090158301,0.22229869236063335,0.2222986923606334,0.22229869236063285,0.11080523055746735,0.11080523055746735
325,0.05574381565710962,0.05574381565710955,0.22229752626284371,0.22229752626284355,0.22229752626284377,0.1108098949486249,0.11080989494862488
330,0.055740987982140285,0.055740987982140285,0.222296395192856,0.22229639519285602,0.2222963951928564,0.11081441922857549,0.11081441922857549
335,0.05573824399705424,0.05573824399705444,0.22229529759882136,0.22229529759882158,0.22229529759882172,0.11081880960471327,0.11081880960471331
340,0.05573558004066985,0.05573558004067054,0.22229423201626783,0.22229423201626822,0.22229423201626775,0.1108230719349278,0.1108230719349278
345,0.05573299265260822,0.0557329926526085,0.22229319706104333,0.22229319706104328,0.22229319706104322,0.11082721175582673,0.11082721175582673
350,0.05573047859202272,0.05573047859202286,0.2222921914368091,0.22229219143680923,0.2222921914368092,0.11083123425276337,0.11083123425276337
355,0.05572803477129703,0.05572803477129664,0.2222912139085185,0.2222912139085186,0.2222912139085191,0.11083514436592509,0.11083514436592506
360,0.05572565829896197,0.05572565829896207,0.2222902633195845,0.22229026331958485,0.2222902633195847,0.1108389467216609,0.11083894672166089
365,0.055723346419356015,0.05572334641935613,0.2222893385677425,0.2222893385677424,0.2222893385677426,0.11084264572903012,0.11084264572903012
370,0.05572109654334044,0.05572109654333998,0.2222884386173358,0.22228843861733613,0.22228843861733608,0.11084624553065582,0.11084624553065582
