M,X,Y_{cj},Y_{rj},Z,U,W
300,0.06690218591066509,0.20004415985824958,0.2000441598582494,0.26672554647766605,0.13314197394758487,0.133141973947585
305,0.06689834925978481,0.20004344048620973,0.20004344048620937,0.26672458731494647,0.1331450912264248,0.1331450912264248
310,0.066894635609297,0.20004274417674284,0.20004274417674298,0.26672365890232436,0.13314810856744647,0.13314810856744638
315,0.06689103912673187,0.2000420698362616,0.20004206983626202,0.2667227597816831,0.13315103070953072,0.13315103070953072
320,0.06688755435908043,0.20004141644232723,0.2000414164423278,0.2667218885897699,0.13315386208324725,0.13315386208324725
325,0.06688417618432933,0.20004078303456088,0.20004078303456196,0.2667210440460828,0.13315660685023253,0.13315660685023253
330,0.06688089977694235,0.20004016870817679,0.20004016870817656,0.266720224944235,0.13315926893123461,0.13315926893123461
335,0.0668777206154447,0.20003957261539557,0.20003957261539654,0.2667194301538608,0.1331618519999513,0.1331618519999513
340,0.06687463443373137,0.20003899395632438,0.20003899395632455,0.2667186586084322,0.13316435952259378,0.13316435952259376
345,0.06687163720041972,0.20003843197507812,0.20003843197507867,0.2667179093001056,0.13316679477465895,0.13316679477465895
350,0.06686872514035108,0.20003788596381553,0.20003788596381553,0.26671718128508753,0.13316916082346517,0.13316916082346517
355,0.06686589465760484,0.20003735524830085,0.20003735524830116,0.2667164736644012,0.13317146059069596,0.13317146059069593
360,0.06686314238505942,0.20003683919719908,0.20003683919719803,0.26671578559626435,0.13317369681213956,0.13317369681213964
365,0.06686046511435129,0.20003633720894065,0.2000363372089408,0.2667151162785879,0.13317587209458964,0.1331758720945897
370,0.06685785983132078,0.20003584871837296,0.20003584871837252,0.26671446495783013,0.13317798888705182,0.13317798888705182
375,0.06685532366700833,0.20003537318756373,0.20003537318756406,0.266713830916752,0.13318004952055598,0.13318004952055598
380,0.06685285389787017,0.20003491010584992,0.2000349101058511,0.26671321347446775,0.1331820562079806,0.13318205620798057
385,0.06685044796710214,0.20003445899383157,0.2000344589938321,0.26671261199177637,0.13318401102672903,0.13318401102672892
390,0.06684810342147607,0.2000340193915267,0.20003401939152615,0.26671202585536924,0.13318591597005086,0.13318591597005086
395,0.06684581793966067,0.2000335908636861,0.2000335908636861,0.2667114544849151,0.13318777292402606,0.13318777292402598
400,0.0668435893182951,0.20003317299718026,0.20003317299718026,0.2667108973295734,0.1331895836788854,0.1331895836788854
405,0.06684141546509476,0.20003276539970546,0.200032765399705,0.2667103538662736,0.1331913499346106,0.1331913499346106
410,0.06683929438489206,0.20003236769716734,0.20003236769716712,0.2667098235962227,0.1331930733122754,0.1331930733122754
415,0.06683722417975217,0.2000319795337031,0.2000319795337036,0.2667093060449388,0.1331947553539511,0.13319475535395114
420,0.06683520303499656,0.20003160056906133,0.20003160056906202,0.2667088007587494,0.1331963975340653,0.1331963975340653
425,0.06683322923338839,0.2000312304812605,0.20003123048126065,0.2667083073083466,0.13319800124787193,0.13319800124787193
430,0.06683130112704495,0.2000308689613213,0.20003086896132108,0.26670782528176085,0.1331995678342759,0.1331995678342759
435,0.06682941715161488,0.200030515715928,0.20003051571592775,0.26670735428790304,0.13320109856431323,0.13320109856431323
440,0.06682757580521106,0.20003017046347676,0.20003017046347707,0.2667068939513034,0.13320259465826587,0.13320259465826587
445,0.06682577565553241,0.2000298329354125,0.20002983293541243,0.2667064439138834,0.1332040572798797,0.1332040572798797
450,0.06682401533992907,0.2000295028762365,0.2000295028762366,0.2667060038349825,0.13320548753630773,0.13320548753630773
455,0.06682229355136594,0.20002918004088102,0.20002918004088124,0.26670557338784184,0.13320688648951498,0.1332068864895149
460,0.06682060903142643,0.2000288641933932,0.20002886419339252,0.2667051522578563,0.13320825516196583,0.13320825516196586
465,0.06681896059151958,0.20002855511091017,0.20002855511091014,0.26670474014788,0.1332095945193901,0.1332095945193901
470,0.06681734708472169,0.20002825257838577,0.20002825257838525,0.2667043367711806,0.1332109054936633,0.1332109054936633
475,0.06681576740582128,0.2000279563885917,0.2000279563885919,0.2667039418514551,0.13321218898277007,0.13321218898277007
480,0.06681422049840943,0.20002766634345154,0.20002766634345207,0.26670355512460214,0.13321344584504233,0.13321344584504233
485,0.06681270536903143,0.20002738225669311,0.20002738225669348,0.26670317634225826,0.13321467688766184,0.13321467688766186
490,0.06681122103078813,0.20002710394327283,0.20002710394327278,0.266702805257697,0.13321588291248462,0.13321588291248462
495,0.06680976656685993,0.2000268312312859,0.2000268312312868,0.26670244164171464,0.1332170646644264,0.1332170646644264
500,0.06680834108115304,0.20002656395271612,0.2000265639527162,0.26670208527028816,0.13321822287156324,0.13321822287156324
