N,X,Y_{cj},Y_{rj},U,W
23,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
24,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
25,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
26,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
27,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
28,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
29,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
30,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
31,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
32,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
33,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
34,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
35,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
36,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
37,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
38,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
39,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
40,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
41,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
42,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
43,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
44,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
45,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
46,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
47,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
48,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
49,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
50,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
51,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
52,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
53,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
54,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
55,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
56,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
57,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
58,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
59,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
60,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
61,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
62,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
63,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
64,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
65,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
66,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
67,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
68,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
69,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
70,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
71,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
