alpha,X,Y_{cj},Y_{rj},Z,T,U,V,W
0.15,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.16,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.17,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.18,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.19,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.2,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.21,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.22,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.23,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.24,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.25,0.07043744418558208,0.16181940748800527,0.32160623385546555,0.19337025653738812,0.019346650853168296,0.07043744418558152,0.02415925056788701,0.1388233123269222
0.26,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.27,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.28,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.29,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.3,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.31,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.32,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.33,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.34,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.35,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.36,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.37,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.38,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.39,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.4,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
0.41,0.06614638275920266,0.214813320590787,0.23694743258630727,0.18070430127083742,0.018079424865822962,0.130366171845806,0.02257679423543066,0.13036617184580604
