alpha,X_{cj},X_{rj},Y_{cj},Y_{rj},U,W
0.56,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.57,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.58,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.59,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.6,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.61,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.62,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.63,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.64,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.65,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.66,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.67,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.68,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.69,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.7,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.71,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.72,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.73,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.74,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.75,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.76,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.77,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.78,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.79,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.8,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.81,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.82,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.83,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.84,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.85,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.86,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.87,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
