alpha,X,Y_{cj},Y_{rj},T,U,V,W
0.18,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.19,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.2,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.21,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.22,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.23,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.24,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.25,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.26,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.27,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.28,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.29,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.31,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.32,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.33,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.34,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.35,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.36,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.37,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.38,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.39,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
