alpha,X,Y_{cj},Y_{rj},T,U,V,W
1.59,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.6,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.61,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.62,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.63,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.64,0.004149377593360431,0.42323651452272887,0.00829875518671993,0.002757091954969427,0.2807745504841423,9.159773936825073e-06,0.28077455048414224
1.65,0.004149377593360431,0.42323651452272887,0.00829875518671993,0.002757091954969427,0.2807745504841423,9.159773936825073e-06,0.28077455048414224
1.66,0.004149377593360431,0.42323651452272887,0.00829875518671993,0.002757091954969427,0.2807745504841423,9.159773936825073e-06,0.28077455048414224
1.67,0.004149377593360431,0.42323651452272887,0.00829875518671993,0.002757091954969427,0.2807745504841423,9.159773936825073e-06,0.28077455048414224
1.68,0.004149377593360431,0.42323651452272887,0.00829875518671993,0.002757091954969427,0.2807745504841423,9.159773936825073e-06,0.28077455048414224
1.69,0.004149377593360431,0.42323651452272887,0.00829875518671993,0.002757091954969427,0.2807745504841423,9.159773936825073e-06,0.28077455048414224
1.7,0.004149377593360431,0.42323651452272887,0.00829875518671993,0.002757091954969427,0.2807745504841423,9.159773936825073e-06,0.28077455048414224
1.71,0.004149377593360431,0.42323651452272887,0.00829875518671993,0.002757091954969427,0.2807745504841423,9.159773936825073e-06,0.28077455048414224
1.72,0.004149377593360431,0.42323651452272887,0.00829875518671993,0.002757091954969427,0.2807745504841423,9.159773936825073e-06,0.28077455048414224
1.73,0.004149377593360431,0.42323651452272887,0.00829875518671993,0.002757091954969427,0.2807745504841423,9.159773936825073e-06,0.28077455048414224
1.74,0.004149377593360431,0.42323651452272887,0.00829875518671993,0.002757091954969427,0.2807745504841423,9.159773936825073e-06,0.28077455048414224
