alpha,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
0.53,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.54,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.55,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.56,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.57,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.58,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.59,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.6,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.61,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.62,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.63,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.64,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.65,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
0.66,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
