s,X,Y,Z,W
422.9242874389508,0.01851851851201439,0.01851851851201395,0.0185185188631034,0.9444444441128682
509.4138014816386,0.018518518518322074,0.01851851851832219,0.018518518528982234,0.9444444444343736
613.5907273413176,0.01851851851851689,0.018518518518517393,0.018518518518675437,0.9444444444442903
739.072203352579,0.01851851851851951,0.018518518518519843,0.018518518518520648,0.9444444444444399
890.2150854450392,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
1072.2672220103254,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
1291.5496650148852,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
1555.6761439304755,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
1873.8174228603868,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
2257.0197196339213,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
2718.5882427329457,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
3274.5491628777318,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
3944.206059437664,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
4750.810162102803,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
5722.3676593502205,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
6892.61210434971,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
8302.175681319752,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
10000.0,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
