s,X,Y,Z,W
0.03199267137797385,0.1802474202960715,0.3311605873472798,0.24620028365457944,0.2423917087020692
0.03853528593710531,0.17384653481017973,0.3134907265967298,0.24702637530014968,0.2656363632929408
0.04641588833612782,0.16701509319356816,0.29297464748521695,0.24639459562196356,0.2936156636992514
0.055908101825122285,0.159323743978873,0.27049071120748586,0.24390063186617023,0.32628491294747103
0.06734150657750829,0.15048631591535283,0.24672130678512516,0.23909873623634867,0.36369364106317337
0.08111308307896872,0.1404211004632936,0.22209487647378115,0.2315299921156065,0.40595403094731874
0.09770099572992257,0.12923019418643625,0.19688294564232933,0.22081059514329912,0.4530762650279353
0.1176811952434999,0.11715512738062042,0.17140744947491618,0.20678243265463855,0.5046549904898249
0.14174741629268062,0.10455535074621909,0.1462313373261637,0.18970293786514353,0.5595103740624736
0.1707352647470692,0.0919022715944936,0.12221277755165709,0.17040181816803698,0.6154831326858123
0.20565123083486536,0.07974602417981144,0.10037850311149377,0.1502833502396922,0.6695921224690027
0.24770763559917114,0.06862460358432208,0.08165225426120233,0.13106492170705583,0.7186582204474198
0.298364724028334,0.05893451658016837,0.06655086866219176,0.11427579256767639,0.7602388221899635
0.3593813663804629,0.050831075959571974,0.055014366157021315,0.10075131127095949,0.7934032466124473
0.43287612810830617,0.04422440947585756,0.04648364911934592,0.09043957827909166,0.8188523631257049
0.521400828799969,0.03887205105208882,0.04017348438929909,0.08263571440533611,0.8383187501532761
0.6280291441834259,0.03450183920709991,0.03536066567909832,0.07644352519526566,0.8536939699185362
0.7564633275546291,0.030894588146411748,0.03153865082316107,0.07115029357940286,0.8664164674510244
0.9111627561154896,0.02790438486757349,0.02841935478879387,0.06635235138594131,0.8773239089576912
1.0974987654930568,0.02543946047837249,0.025856673393476977,0.061885334961326574,0.886818531166824
1.3219411484660315,0.023436254831010587,0.02377084759639661,0.05770265612765585,0.8950902414449369
1.592282793341094,0.0218431411995452,0.02210596305709209,0.05379445831155096,0.9022564374318118
1.9179102616724888,0.020613474377882024,0.02081391040333117,0.050156081626405974,0.9084165335923807
2.310129700083163,0.019702527865820614,0.019849302309237545,0.04678114013705655,0.9136670296878853
2.782559402207126,0.01906518277433558,0.01916687362633321,0.04366136221231921,0.9181065813870118
3.351602650938848,0.018654017142865926,0.018719412428197125,0.040787300194719656,0.9218392702342173
4.037017258596558,0.018418793602900402,0.018456899657050906,0.03814879813660843,0.9249755086034402
4.862601580065354,0.018308535528966854,0.018328077749639092,0.035735092530478366,0.9276282941909156
5.857020818056673,0.018276322959185937,0.018284847157698375,0.033534658350248915,0.9299041715328668
7.054802310718645,0.018284890489016745,0.01828793124726139,0.03153508281064653,0.9318920954530753
8.497534359086455,0.01830981577621033,0.018310663791557463,0.029723257415762018,0.9336562630164702
10.235310218990268,0.018338453107522447,0.018338628583027435,0.02808593630781631,0.9352369820016337
12.328467394420684,0.018365893475008055,0.01836591880433935,0.02661041657852407,0.9366577711421286
14.849682622544666,0.018390851965632893,0.018390854334907725,0.025285051905958516,0.9379332417935008
17.886495290574352,0.018413216947007278,0.01841321707845227,0.024099510812119022,0.9390740551624215
21.544346900318867,0.018433115590822686,0.018433115594711127,0.023044873893599917,0.9400888949208662
25.950242113997373,0.01845068505766184,0.01845068505771513,0.02211369194605934,0.9409849379385637
31.257158496882415,0.018466036376190174,0.018466036376190174,0.02130007206204732,0.9417678551855724
37.649358067924716,0.018479249149708006,0.018479249149707676,0.0205997950654574,0.9424417066351268
45.34878508128591,0.018490370949468208,0.01849037094946832,0.020010339678205265,0.9430089184228582
