s,X,Y_{cj},Y_{rj},Z,U,W
3.727593720314938,0.051817029686400506,0.1543148271445089,0.1543148271445091,0.4353679594180618,0.10209267830325983,0.10209267830325981
5.428675439323859,0.05452075076135871,0.16207681248512484,0.16207681248512504,0.40643010919574396,0.10744775753632377,0.10744775753632382
7.9060432109076855,0.057255973866457525,0.170113161204214,0.1701131612042139,0.37683004704787154,0.11284382833862155,0.11284382833862161
11.513953993264458,0.059740711706397304,0.17748262471289492,0.177482624712895,0.3498112573119282,0.11774139077794235,0.11774139077794228
16.768329368110066,0.061899295790690395,0.18389499903171722,0.183894999031718,0.3263193073138523,0.1219956994160111,0.1219956994160111
24.420530945486497,0.06371476764502432,0.18928853300366327,0.18928853300366394,0.3065606356303687,0.12557376535863987,0.12557376535863987
35.564803062231285,0.06517397407394111,0.19362365113229058,0.19362365113229077,0.2906793695447781,0.12844967705834975,0.12844967705834975
51.79474679231202,0.06625614225648574,0.1968386362182947,0.19683863621829525,0.278901597383304,0.1305824939618102,0.1305824939618102
75.43120063354607,0.06693931216328969,0.19886824778608397,0.19886824778608433,0.27146632101895324,0.1319289356227944,0.1319289356227944
109.85411419875572,0.06725826741454947,0.1998158235810888,0.19981582358108915,0.26799497309019377,0.1325575561665394,0.1325575561665394
159.98587196060572,0.06735028641981473,0.20008920043168194,0.20008920043168235,0.2669934846930859,0.13273891401186755,0.13273891401186755
232.99518105153672,0.06736355718401661,0.20012862619717658,0.20012862619717706,0.26684905239531137,0.13276506901315915,0.13276506901315915
339.3221771895323,0.06736428039864834,0.20013077477656593,0.20013077477656657,0.2668411812923824,0.13276649437791843,0.13276649437791843
494.1713361323828,0.06736429036789762,0.20013080439394815,0.20013080439394798,0.26684107279210534,0.13276651402605055,0.13276651402605055
719.6856730011514,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1048.1131341546852,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
1526.4179671752302,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
2222.996482526191,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
3237.45754281764,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
4714.8663634573895,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
6866.488450042998,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
10000.0,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
