s,X,Y_{cj},Y_{rj},Z,T,U,V,W
0.18420699693267145,0.060912038924641684,0.1993133503076528,0.20171290306238882,0.2870068554245315,0.013246736802750144,0.11176604279870277,0.013363950565506716,0.11267812211382537
0.2682695795279725,0.05772072791630891,0.19165251402313244,0.19233546336472762,0.31417626937671983,0.013086190110482808,0.10883968746315327,0.013137666375879513,0.1090514813695956
0.3906939937054613,0.05497419694461343,0.18388413220898384,0.18401314448477887,0.34057196799879197,0.01289842896201177,0.10535959492614327,0.012914230012844556,0.10538430446183235
0.5689866029018293,0.05276235514955716,0.1767351748266193,0.1767522710055255,0.36398137197534186,0.01270113791318275,0.10218122558619586,0.0127041199965064,0.10218234354707116
0.8286427728546842,0.051236176949679794,0.17103993196716646,0.1710413510934535,0.3817200358587962,0.012552822245314062,0.09992828137261828,0.012553105892357395,0.09992829462061419
1.2067926406393288,0.05057894082420482,0.1676122041183193,0.1676122523734996,0.390970408680846,0.01250131991546347,0.0991117720850911,0.012501329890754899,0.0991117721118208
1.7575106248547894,0.05094169489780777,0.16715850275295768,0.16715850314084177,0.3893615757250248,0.012570235436802107,0.10011962626427455,0.012570235518016726,0.10011962626427458
2.559547922699533,0.052337518926649944,0.1700183823313898,0.17001838233138916,0.3760181408906556,0.01276697288714677,0.10303681487281097,0.012766972887146778,0.10303681487281098
3.727593720314938,0.05452603603600972,0.1757927829180837,0.17579278291808406,0.35281111502876034,0.013108534307447236,0.10743010724208388,0.01310853430744723,0.10743010724208385
5.428675439323859,0.05703166765849733,0.18323207244727482,0.18323207244727524,0.32444786782094676,0.013631967301187826,0.11239619251181511,0.013631967301187835,0.11239619251181505
7.9060432109076855,0.059407618559233114,0.19084910295817822,0.1908491029581782,0.29604946716547187,0.014337923368108182,0.11708443081136113,0.014337923368108182,0.11708443081136113
11.513953993264458,0.061470037266729685,0.1977676484751752,0.19776764847517356,0.27040082062960463,0.01514724972832272,0.12114967284833576,0.01514724972832271,0.12114967284833567
16.768329368110066,0.06320839896532388,0.20376469613187737,0.20376469613187792,0.2481496239180006,0.015980515881022957,0.12457577654543717,0.015980515881022967,0.12457577654543717
24.420530945486497,0.0646347685408597,0.20883860134380972,0.2088386013438097,0.2292803631656223,0.016816861795235467,0.12738697100771373,0.016816861795235543,0.12738697100771373
35.564803062231285,0.06575394195070172,0.21301069228117253,0.21301069228117314,0.21371117282601018,0.017664029786854416,0.12959272054361673,0.017664029786854437,0.1295927205436167
51.79474679231202,0.06656407462860726,0.21629092397352367,0.21629092397352367,0.20140037873451191,0.018537459542903922,0.13118938980201275,0.01853745954290392,0.13118938980201275
75.43120063354607,0.06706322482362924,0.21868736581497114,0.21868736581497147,0.19231376156374516,0.01945098915447857,0.13217315183686285,0.019450989154478567,0.13217315183686285
109.85411419875572,0.06729065259472494,0.22028897896053296,0.22028897896053304,0.18613473675259296,0.020376943096591407,0.13262138326921663,0.02037694309659143,0.13262138326921663
159.98587196060572,0.06735473811860161,0.2213088482902364,0.22130884829023612,0.18211934495765766,0.021206422423320867,0.13274768774831336,0.021206422423320825,0.13274768774831336
232.99518105153672,0.06736379682977936,0.22193347427509733,0.22193347427509758,0.17962989972939036,0.021804136120607054,0.13276554132471058,0.021804136120607068,0.1327655413247106
339.3221771895323,0.06736428370966367,0.22224691315905973,0.22224691315905973,0.17837663107342527,0.022116128545883244,0.1327665009035126,0.022116128545883244,0.13276650090351255
494.1713361323828,0.06736429037388443,0.2223490171950761,0.22234901719507605,0.17796822159358075,0.022218212783341573,0.1327665140378497,0.022218212783341573,0.13276651403784967
719.6856730011514,0.06736429038587274,0.2223663544197895,0.22236635441978964,0.17789887270671534,0.022235549972438255,0.13276651406147816,0.022235549972438255,0.1327665140614781
1048.1131341546852,0.06736429038587304,0.2223675379815886,0.22236753798158893,0.17789413845951793,0.02223673353423754,0.13276651406147813,0.022236733534237562,0.1327665140614782
1526.4179671752302,0.06736429038587334,0.22236756042886416,0.2223675604288645,0.1778940486704163,0.022236755981512958,0.13276651406147785,0.022236755981512937,0.1327665140614778
2222.996482526191,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
3237.45754281764,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
4714.8663634573895,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
6866.488450042998,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
10000.0,0.06736429038587273,0.22236756049705658,0.22236756049705692,0.17789404839764528,0.022236756049705656,0.13276651406147857,0.022236756049705656,0.13276651406147857
