s,X,Y_{cj},Y_{rj},Z,T,V
0.2682695795279725,0.10036367085489414,0.15794572848498892,0.15875068829269975,0.5131710038359306,0.03477444237190094,0.03499446615958545
0.3906939937054613,0.09454954928025255,0.1483385227681761,0.14858421672655794,0.5407298224878838,0.03386497754113029,0.03393291119599922
0.5689866029018293,0.09000568447738873,0.13993858426272637,0.1399846146260114,0.5636626406451958,0.03319771414715107,0.03321076184152664
0.8286427728546842,0.08721815621659117,0.13353916670188143,0.13354353164363175,0.5796502681980713,0.03302379668756826,0.03302508055225607
1.2067926406393288,0.0866858878144989,0.129935021161346,0.12993517576143673,0.5863729970388091,0.03353543532480161,0.03353548289910767
1.7575106248547894,0.08881246258657932,0.129824663359099,0.12982466464605197,0.5819231510798722,0.034807528957010614,0.03480752937138676
2.559547922699533,0.09366478777002755,0.13362936510625767,0.13362936510625786,0.5655329826920968,0.0367717496626801,0.0367717496626801
3.727593720314938,0.10065217436483766,0.14109609013603883,0.14109609013603996,0.5386061808076267,0.03927473227772844,0.03927473227772844
5.428675439323859,0.10851557203130428,0.15097732787619303,0.15097732787619383,0.5051164382421978,0.0422066669870555,0.0422066669870555
7.9060432109076855,0.11602435871466354,0.16152703676969205,0.16152703676969202,0.4699678614232718,0.0454768531613403,0.04547685316134033
11.513953993264458,0.12267934309154847,0.17156913789515746,0.17156913789515763,0.4364044900377492,0.048888945540193574,0.048888945540193574
16.768329368110066,0.12844965537216385,0.1806974838691517,0.1806974838691517,0.4056597306937356,0.052247823097898535,0.052247823097898535
24.420530945486497,0.13330985203691487,0.18878471986369136,0.18878471986369136,0.37817097258214927,0.05547486782677662,0.05547486782677662
35.564803062231285,0.13719717448533028,0.19574917151390456,0.19574917151390456,0.35420048842971175,0.058551997028574346,0.058551997028574346
51.79474679231202,0.14004320469896783,0.2015205974687058,0.2015205974687058,0.33396081482414447,0.061477392769738154,0.061477392769738154
75.43120063354607,0.14180272864501528,0.20604925280921377,0.20604925280921377,0.3176057174081607,0.06424652416419836,0.06424652416419836
109.85411419875572,0.14260122201985528,0.20938972401301087,0.20938972401301087,0.3050423259678122,0.06678850199315545,0.06678850199315545
159.98587196060572,0.14282423072795214,0.21173303226967696,0.21173303226967696,0.2958921016492445,0.06890880154172482,0.06890880154172482
232.99518105153672,0.14285545360681887,0.21323624601053554,0.21323624601053554,0.2899104695646768,0.07038079240371665,0.07038079240371665
339.3221771895323,0.14285712008719526,0.21399468243931208,0.21399468243931208,0.2868783903299465,0.07113756235211702,0.07113756235211702
494.1713361323828,0.1428571428163009,0.21424103161897215,0.21424103161897215,0.28589301634041264,0.07138388880267119,0.07138388880267119
719.6856730011514,0.14285714285714274,0.21428280863894877,0.21428280863894877,0.285725908301348,0.07142566578180587,0.07142566578180587
1048.1131341546852,0.14285714285714296,0.21428566004281593,0.21428566004281593,0.28571450268587917,0.07142851718567306,0.07142851718567306
1526.4179671752302,0.14285714285714293,0.21428571412142858,0.21428571412142858,0.2857142863714286,0.0714285712642857,0.0714285712642857
2222.996482526191,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
3237.45754281764,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
4714.8663634573895,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
6866.488450042998,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
10000.0,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
